"","card_name","commander","commander_deck","index","id","colorIdentity","colorIndicator","colors","convertedManaCost","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","hand","hasAlternativeDeckLimit","hasContentWarning","isAlternative","isReserved","isStarter","isTimeshifted","keywords","leadershipSkills","life","loyalty","manaCost","manaValue","mcmId","mcmMetaId","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","rarity","subtypes","supertypes","text","toughness","type","types","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","ColourlessMana","ManaDiscrep","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana"
"1","Ashnod's Altar","","Dina_upgrade",77642,77643,"","","",3,98,0.94,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{3}",3,249662,NA,"","","","","","","5ED,6ED,ATQ,BCHR,BRR,CHR,EMA,MB1,ME4,RIN,WC00","uncommon","","","Sacrifice a creature: Add {C}{C}.","","Artifact","Artifact","",0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"2","Bolas's Citadel","","Dina_upgrade",77344,77345,"B","","B",6,147,1.32,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{3}{B}{B}{B}",6,371813,269267,"","","You may look at the top card of your library any time.
You may play the top card of your library. If you cast a spell this way, pay life equal to its converted mana cost rather than pay its mana cost.
{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.","Legendary Artifact","","","PLG21,PRM,PWAR,SLD,WAR","rare","","Legendary","You may look at the top card of your library any time.
You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.
{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.","","Legendary Artifact","Artifact","",0,3,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"3","Chrome Mox","","Dina_upgrade",78136,78137,"","","",0,108,0.99,NA,"",NA,"",NA,0,0,1,0,1,0,"Imprint","",NA,"","{0}",0,249155,NA,"","","","","","","2XM,EMA,MPS,MRD,PGPX,PRM,SLC,WC04","rare","","","Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.
{T}: Add one mana of any of the exiled card's colors.","","Artifact","Artifact","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"4","Beast Whisperer","","Dina_upgrade",73563,73564,"G","","G",4,123,0.33,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{G}{G}",4,546801,NA,"","","Whenever you cast a creature spell, draw a card.","Creature — Elf Druid","","2","C20,GN3,GRN,KHC,P30A,PGRN,PRES,SLD,TSR","special","Elf,Druid","","Whenever you cast a creature spell, draw a card.","3","Creature — Elf Druid","Creature","",2,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"5","Belbe, Corrupted Observer","","Dina_upgrade",60131,60132,"B,G","","B,G",2,4468,0.24,NA,"",NA,"",NA,0,0,0,0,0,0,"","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{B}{G}",2,NA,NA,"","2020-12-15","","","","2","CMR,PRM","rare","Phyrexian,Zombie,Elf","Legendary","At the beginning of each player's postcombat main phase, that player adds {C}{C} for each of your opponents who lost life this turn. (Damage causes loss of life.)","2","Legendary Creature — Phyrexian Zombie Elf","Creature","",1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"6","Boreal Druid","","Dina_upgrade",27795,27796,"G","","G",1,1164,0.08,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{G}",1,443023,NA,"","","","","","1","CSP,FMB1","common","Elf,Druid","Snow","{T}: Add {C}.","1","Snow Creature — Elf Druid","Creature","",1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"7","Carrion Feeder","","Dina_upgrade",71166,71167,"B","","B",1,395,0.22,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{B}",1,NA,NA,"","","","","","1","DDE,EMA,F04,MB1,MH1,PRM,SCG,SLD,TD0","common","Zombie","","Carrion Feeder can't block.
Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.","1","Creature — Zombie","Creature","",0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"8","Deathgreeter","","Dina_upgrade",29614,29615,"B","","B",1,3047,0.14,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{B}",1,269944,NA,"","","Whenever another creature dies, you may gain 1 life.","Creature — Human Shaman","","1","ALA,DDD,GVL","common","Human,Shaman","","Whenever another creature dies, you may gain 1 life.","1","Creature — Human Shaman","Creature","",0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"9","Elves of Deep Shadow","","Dina_upgrade",64916,64917,"B,G","","G",1,384,0.08,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{G}",1,13373,1749,"","","{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.","Creature - Elf Druid","","1","DDJ,DRK,F06,GK1,MB1,ME3,PRM,RAV","common","Elf,Druid","","{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.","1","Creature — Elf Druid","Creature","golgari",1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"10","Elvish Mystic","","Dina_upgrade",73567,73568,"G","","G",1,79,0.12,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{G}",1,545266,NA,"","","{T}: Add {G}.","Creature — Elf Druid","","1","C14,CMA,DDU,EA1,F14,KHC,M14,M15,PRM,SLD,TSR","special","Elf,Druid","","{T}: Add {G}.","1","Creature — Elf Druid","Creature","",1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
