"baseSetSize","block","code","isFoilOnly","isForeignOnly","isNonFoilOnly","isOnlineOnly","isPartialPreview","keyruneCode","languages","mcmId","mcmIdExtras","mcmName","mtgoCode","name","parentCode","releaseDate","tcgplayerGroupId","tokenSetCode","totalSetSize","type"
383,"Core Set","10E","False","","","False","","10E","Chinese Simplified, English, French, German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish",74,NA,"Tenth Edition","10E","Tenth Edition","","2007-07-13",1,"T10E",510,"core"
302,"Core Set","2ED","False","","True","False","","2ED","English",NA,NA,"","","Unlimited Edition","","1993-12-01",115,"",302,"core"
577,"","2X2","False","","","False","","2X2","Chinese Simplified, English, French, German, Japanese",5070,5071,"Double Masters 2022","","Double Masters 2022","","2022-07-08",3070,"T2X2",579,"masters"
332,"","2XM","False","","","False","","2XM","Chinese Simplified, English, French, German, Japanese",3204,3209,"Double Masters","2XM","Double Masters","","2020-08-07",2655,"T2XM",384,"masters"
594,"","30A","False","","True","False","","30A","English",5199,NA,"30th Anniversary Edition","","30th Anniversary Edition","","2022-11-28",3178,"T30A",594,"memorabilia"
306,"Core Set","3ED","False","","True","False","","3ED","English, French, German, Italian",NA,NA,"","","Revised Edition","","1994-04-01",97,"",306,"core"
617,"Commander","40K","False","","","False","","40K","English",NA,NA,"","","Warhammer 40,000 Commander","","2022-10-07",3079,"T40K",617,"commander"
378,"","4BB","False","True","True","False","","4ED","Chinese Traditional, Japanese, Korean, Portuguese (Brazil), Spanish",NA,NA,"","","Fourth Edition Foreign Black Border","4ED","1995-04-01",NA,"",378,"core"
378,"Core Set","4ED","False","","True","False","","4ED","English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",10,NA,"Fourth Edition","","Fourth Edition","","1995-04-01",46,"",379,"core"
165,"Mirrodin","5DN","False","","","False","","5DN","Chinese Simplified, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",47,NA,"Fifth Dawn","5DN","Fifth Dawn","","2004-06-04",43,"",165,"expansion"
455,"Core Set","5ED","False","","True","False","","5ED","Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",23,NA,"Fifth Edition","","Fifth Edition","","1997-03-24",44,"",460,"core"
350,"Core Set","6ED","False","","True","False","","6ED","Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",NA,NA,"","","Classic Sixth Edition","","1999-04-21",23,"",351,"core"
350,"Core Set","7ED","False","","","False","","7ED","Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",37,NA,"Seventh Edition","7E","Seventh Edition","","2001-04-11",2,"",708,"core"
350,"Core Set","8ED","False","","","False","","8ED","Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",44,NA,"Eighth Edition","8ED","Eighth Edition","","2003-07-28",3,"",710,"core"
350,"Core Set","9ED","False","","","False","","9ED","Chinese Simplified, English, French, German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish",49,NA,"Ninth Edition","9ED","Ninth Edition","","2005-07-29",4,"",709,"core"
249,"","A25","False","","","False","","A25","Chinese Simplified, English, Japanese",1820,NA,"Masters 25","A25","Masters 25","","2018-03-16",2189,"TA25",249,"masters"
