"artist","artistIds","asciiName","availability","boosterTypes","borderColor","colorIdentity","colors","edhrecSaltiness","faceName","finishes","flavorText","frameEffects","frameVersion","hasFoil","hasNonFoil","isFullArt","isFunny","isPromo","isReprint","isTextless","keywords","language","layout","name","number","orientation","originalText","originalType","otherFaceIds","power","promoTypes","relatedCards","reverseRelated","securityStamp","setCode","side","signature","subtypes","supertypes","text","toughness","type","types","uuid","watermark"
"Paolo Parente","d48dd097-720d-476a-8722-6a02854ae28b","","paper","default","black","W","W",NA,"","nonfoil","","",2003,0,1,1,NA,NA,1,NA,"","English","token","Soldier","1","","","","","1","setpromo","{'reverseRelated': ['Phyrexian Warhorse', ""Elspeth, Sun's Champion"", 'First Response', 'Throne of Empires', 'Deploy to the Front', 'Baird, Argivian Recruiter', 'Entrapment Maneuver', 'Security Detail', 'Undercellar Sweep', 'Martial Coup', 'Sergeant-at-Arms', 'Launch the Fleet', 'Benalish Commander', 'Torsten, Founder of Benalia', 'Precinct Captain', 'Scout the Wilderness', 'Murder Investigation', 'Hero of Bladehold', ""Captain's Call"", 'Basri Ket', 'Keeper of the Accord', 'Tura Kennerüd, Skyknight', 'Prava of the Steel Legion', 'Evangel of Heliod', 'Company Commander', 'Raise the Alarm', 'Queen Allenal of Ruadach', 'Elspeth Tirel', 'Knight-Captain of Eos', 'Keldon Strike Team', 'Timely Reinforcements', 'Decree of Justice', 'Bant Sojourners', 'Mobilization', 'Veteran Soldier', 'Even the Odds', 'Protect the Negotiators', ""You're Confronted by Robbers"", 'Lieutenants of the Guard', 'Defiler of Faith', 'Kjeldoran Outpost', 'Akroan Horse', 'Skyknight Vanguard', ""Elspeth's Talent"", 'Stormfront Riders', 'Captain of the Watch', 'Lena, Selfless Champion', 'Ancestral Blade', 'Ironroot Warlord', 'Attended Knight', 'Alliance of Arms', 'Heroic Reinforcements', 'Argivian Cavalier', ""Abdel Adrian, Gorion's Ward"", ""Historian's Boon"", ""Horn of Valhalla // Ysgard's Call"", 'Darien, King of Kjeldor', 'Recruitment Drive', 'Secure the Scene', 'Recruit the Worthy', 'King Darien XLVIII', 'Resolute Reinforcements', 'Elspeth, Knight-Errant', 'Memorial to Glory']}","Phyrexian Warhorse, Elspeth, Sun's Champion, First Response, Throne of Empires, Deploy to the Front, Baird, Argivian Recruiter, Entrapment Maneuver, Security Detail, Undercellar Sweep, Martial Coup, Sergeant-at-Arms, Launch the Fleet, Benalish Commander, Torsten, Founder of Benalia, Precinct Captain, Scout the Wilderness, Murder Investigation, Hero of Bladehold, Captain's Call, Basri Ket, Keeper of the Accord, Tura Kennerüd, Skyknight, Prava of the Steel Legion, Evangel of Heliod, Company Commander, Raise the Alarm, Queen Allenal of Ruadach, Elspeth Tirel, Knight-Captain of Eos, Keldon Strike Team, Timely Reinforcements, Decree of Justice, Bant Sojourners, Mobilization, Veteran Soldier, Even the Odds, Protect the Negotiators, You're Confronted by Robbers, Lieutenants of the Guard, Defiler of Faith, Kjeldoran Outpost, Akroan Horse, Skyknight Vanguard, Elspeth's Talent, Stormfront Riders, Captain of the Watch, Lena, Selfless Champion, Ancestral Blade, Ironroot Warlord, Attended Knight, Alliance of Arms, Heroic Reinforcements, Argivian Cavalier, Abdel Adrian, Gorion's Ward, Historian's Boon, Horn of Valhalla // Ysgard's Call, Darien, King of Kjeldor, Recruitment Drive, Secure the Scene, Recruit the Worthy, King Darien XLVIII, Resolute Reinforcements, Elspeth, Knight-Errant, Memorial to Glory","","T10E","","","Soldier","","","1","Token Creature — Soldier","Token, Creature","5aea21ce-bd08-5cd4-87f1-991f8f708d7c",""
"Carl Critchlow","17948f16-611a-44b8-8d10-9895a0bdfff1","","paper","default","black","B","B",NA,"","nonfoil","","",2003,0,1,1,NA,NA,1,NA,"","English","token","Zombie","2","","","","","2","setpromo","{'reverseRelated': ['Waste Not', 'Awaken the Erstwhile', 'Empty the Pits', 'Wight', ""Gisa's Bidding"", 'Oath of Liliana', 'Ghoulcaller Gisa', 'Bridge from Below', 'Shamble Back', 'Doomed Dissenter', 'The Fourth Sphere', ""Ghoulcaller's Accomplice"", 'Cryptbreaker', ""Drana's Chosen"", 'Rakshasa Gravecaller', 'Tymaret Calls the Dead', 'Graveyard Marshal', 'Open the Graves', 'Dying to Serve', 'Acererak the Archlich', 'Cradle of the Accursed', 'Undead Alchemist', 'Midnight Ritual', 'Rise from the Tides', 'Bone Miser', 'Nevinyrral, Urborg Tyrant', 'Sidisi, Brood Tyrant', 'Archdemon of Unx', 'Feast or Famine', 'Hour of Promise', 'Rank Officer', 'Stir the Sands', 'Undead Servant', 'Liliana, Dreadhorde General', 'Dread Summons', 'Boneclad Necromancer', 'Liliana, the Last Hope', 'Vile Rebirth', 'Endless Ranks of the Dead', 'Curse of Disturbance', 'Tormod, the Desecrator', 'Cemetery Reaper', 'Army of the Damned', ""Liliana, Death's Majesty"", 'Aphemia, the Cacophony', 'Drunau Corpse Trawler', 'Oglor, Devoted Assistant', 'Assemble the Rank and Vile', 'Grixis Slavedriver', ""Necromancer's Covenant"", 'Necromentia', 'Reap the Seagraf', ""Liliana's Reaver"", 'Varina, Lich Queen', 'Tombstone Stairwell', 'Wand of Orcus', 'From Under the Floorboards', 'Cellar Door', 'Invasion of Innistrad // Deluge of the Dead', 'Xathrid Necromancer', 'Necrotic Hex', 'Field of the Dead', 'Lair of the Ashen Idol', 'Necromaster Dragon', ""Liliana's Devotee"", 'Liliana, Heretical Healer // Liliana, Defiant Necromancer', 'Null Caller', 'Syphon Flesh', ""Liliana's Mastery"", 'Sarcomancy', 'Zombie Infestation', 'Never // Return', 'Overseer of the Damned', 'Skull Skaab', 'Dunes of the Dead', 'Moan of the Unhallowed', 'Unscythe, Killer of Kings', 'Graf Harvest', 'Headless Rider', ""Necromancer's Stockpile"", 'Curse of Shallow Graves', 'Maalfeld Twins', 'Rotlung Reanimator', 'Kalitas, Traitor of Ghet', 'Tobias, Doomed Conqueror', 'Magus of the Bridge', 'Wakedancer', 'Havengul Runebinder', 'Suspicious Shambler', 'Noosegraf Mob', 'Grave Titan', 'Dark Salvation', 'Death Tyrant', 'Captive Audience', 'The Book of Vile Darkness', 'Diregraf Colossus']}","Waste Not, Awaken the Erstwhile, Empty the Pits, Wight, Gisa's Bidding, Oath of Liliana, Ghoulcaller Gisa, Bridge from Below, Shamble Back, Doomed Dissenter, The Fourth Sphere, Ghoulcaller's Accomplice, Cryptbreaker, Drana's Chosen, Rakshasa Gravecaller, Tymaret Calls the Dead, Graveyard Marshal, Open the Graves, Dying to Serve, Acererak the Archlich, Cradle of the Accursed, Undead Alchemist, Midnight Ritual, Rise from the Tides, Bone Miser, Nevinyrral, Urborg Tyrant, Sidisi, Brood Tyrant, Archdemon of Unx, Feast or Famine, Hour of Promise, Rank Officer, Stir the Sands, Undead Servant, Liliana, Dreadhorde General, Dread Summons, Boneclad Necromancer, Liliana, the Last Hope, Vile Rebirth, Endless Ranks of the Dead, Curse of Disturbance, Tormod, the Desecrator, Cemetery Reaper, Army of the Damned, Liliana, Death's Majesty, Aphemia, the Cacophony, Drunau Corpse Trawler, Oglor, Devoted Assistant, Assemble the Rank and Vile, Grixis Slavedriver, Necromancer's Covenant, Necromentia, Reap the Seagraf, Liliana's Reaver, Varina, Lich Queen, Tombstone Stairwell, Wand of Orcus, From Under the Floorboards, Cellar Door, Invasion of Innistrad // Deluge of the Dead, Xathrid Necromancer, Necrotic Hex, Field of the Dead, Lair of the Ashen Idol, Necromaster Dragon, Liliana's Devotee, Liliana, Heretical Healer // Liliana, Defiant Necromancer, Null Caller, Syphon Flesh, Liliana's Mastery, Sarcomancy, Zombie Infestation, Never // Return, Overseer of the Damned, Skull Skaab, Dunes of the Dead, Moan of the Unhallowed, Unscythe, Killer of Kings, Graf Harvest, Headless Rider, Necromancer's Stockpile, Curse of Shallow Graves, Maalfeld Twins, Rotlung Reanimator, Kalitas, Traitor of Ghet, Tobias, Doomed Conqueror, Magus of the Bridge, Wakedancer, Havengul Runebinder, Suspicious Shambler, Noosegraf Mob, Grave Titan, Dark Salvation, Death Tyrant, Captive Audience, The Book of Vile Darkness, Diregraf Colossus","","T10E","","","Zombie","","","2","Token Creature — Zombie","Token, Creature","63ac47ed-3457-5af8-9a33-1bb5dcb9ca9f",""
"Jim Pavelec","1431bdd4-c187-40ea-847a-e1dcd835598a","","paper","default","black","R","R",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"Flying","English","token","Dragon","3","","","","","5","setpromo","{'reverseRelated': ['Awaken the Sky Tyrant', 'Dragonkin Berserker', 'Sarkhan, Fireblood', 'Lathliss, Dragon Queen', 'Look Skyward and Despair', 'Dragon Roost', 'Shiv', 'Draconic Disciple', 'Loot Dispute', 'Death by Dragons', 'Dragonmaster Outcast', 'Skyline Despot', 'Day of the Dragons', 'Sarkhan the Mad']}","Awaken the Sky Tyrant, Dragonkin Berserker, Sarkhan, Fireblood, Lathliss, Dragon Queen, Look Skyward and Despair, Dragon Roost, Shiv, Draconic Disciple, Loot Dispute, Death by Dragons, Dragonmaster Outcast, Skyline Despot, Day of the Dragons, Sarkhan the Mad","","T10E","","","Dragon","","Flying","5","Token Creature — Dragon","Token, Creature","7decf258-eb10-50da-83f7-c7eba74adbfb",""
"Dave Kendall","8a5540a8-18c9-4fa9-802c-59d6866114d5","","paper","default","black","R","R",NA,"","nonfoil","","",2003,0,1,1,NA,NA,1,NA,"","English","token","Goblin","4","","","","","1","setpromo","{'reverseRelated': ['Box of Free-Range Goblins', 'Goblin Gathering', 'Blast from the Past', 'Legion Warboss', 'Squee, Dubious Monarch', 'Goblin Goliath', 'Kathari Bomber', 'Mogg Alarm', 'Goblin Rabblemaster', 'Goblin Offensive', 'Survey the Wreckage', 'Empty the Warrens', 'Warbreak Trumpeter', 'Goblinslide', 'Goblin Marshal', 'Sling-Gang Lieutenant', 'Tin Street Cadet', 'Lost Mine of Phandelver', 'Goblin Morningstar', 'Ib Halfheart, Goblin Tactician', 'Krenko, Mob Boss', 'Swarming Goblins', 'Rulik Mons, Warren Chief', 'You See a Pair of Goblins', 'Goblin Gang Leader', 'Mogg War Marshal', 'Goblin Instigator', 'Ponyback Brigade', 'Jund', 'Goblin Rally', ""Krenko's Command"", 'Garbage Elemental', 'Hordeling Outburst', 'Mardu Ascendancy', 'Ardoz, Cobbler of War', 'Pashalik Mons', 'Goblin Warrens', 'Rasputin, the Oneiromancer', 'Mogg Infestation', 'Dragon Fodder', 'Goblin Assault', 'Siege-Gang Commander', 'Battle Cry Goblin', 'Krenko, Tin Street Kingpin', 'Hunted Phantasm', 'Kuldotha Rebirth', 'Den of the Bugbear', 'Beetleback Chief', 'Sarpadian Empires, Vol. VII', 'Goblin War Party', 'Gift Horse', 'Goblin Traprunner']}","Box of Free-Range Goblins, Goblin Gathering, Blast from the Past, Legion Warboss, Squee, Dubious Monarch, Goblin Goliath, Kathari Bomber, Mogg Alarm, Goblin Rabblemaster, Goblin Offensive, Survey the Wreckage, Empty the Warrens, Warbreak Trumpeter, Goblinslide, Goblin Marshal, Sling-Gang Lieutenant, Tin Street Cadet, Lost Mine of Phandelver, Goblin Morningstar, Ib Halfheart, Goblin Tactician, Krenko, Mob Boss, Swarming Goblins, Rulik Mons, Warren Chief, You See a Pair of Goblins, Goblin Gang Leader, Mogg War Marshal, Goblin Instigator, Ponyback Brigade, Jund, Goblin Rally, Krenko's Command, Garbage Elemental, Hordeling Outburst, Mardu Ascendancy, Ardoz, Cobbler of War, Pashalik Mons, Goblin Warrens, Rasputin, the Oneiromancer, Mogg Infestation, Dragon Fodder, Goblin Assault, Siege-Gang Commander, Battle Cry Goblin, Krenko, Tin Street Kingpin, Hunted Phantasm, Kuldotha Rebirth, Den of the Bugbear, Beetleback Chief, Sarpadian Empires, Vol. VII, Goblin War Party, Gift Horse, Goblin Traprunner","","T10E","","","Goblin","","","1","Token Creature — Goblin","Token, Creature","8b44e4ca-fb3a-5ef1-a607-6ed5b98cb216",""
"Cyril Van Der Haegen","90edbd2e-9462-4394-b0b4-02885b4e56b3","","paper","default","black","G","G",NA,"","nonfoil","","",2003,0,1,1,NA,NA,NA,NA,"","English","token","Saproling","5","","","","","1","setpromo","{'reverseRelated': ['Fungal Infection', 'Sporoloth Ancient', 'Fungal Plots', 'Undercellar Myconid', 'Aura Mutation', 'Sporemound', 'Thallid Germinator', 'Spore Burst', 'Sporeweb Weaver', 'Fists of Ironwood', 'Fungal Sprouting', 'Savage Thallid', 'Night Soil', 'Sporogenesis', 'Psychotrope Thallid', 'Deathspore Thallid', 'Saproling Cluster', 'Golgari Germination', 'Sprout', 'Yavimaya Sapherd', 'Thallid', 'Thallid Shell-Dweller', 'Utopia Mycon', 'Selesnya Evangel', 'Last Stand', 'Pollenbright Wings', 'Slimefoot and Squee', 'Nemata, Grove Guardian', 'Aether Mutation', 'Saproling Symbiosis', 'Thelonite Hermit', 'Jade Mage', 'Death Mutation', 'Druidic Satchel', 'Ulasht, the Hate Seed', 'Verdant Force', 'The Weatherseed Treaty', 'Verdeloth the Ancient', 'Vitu-Ghazi, the City-Tree', 'Vitaspore Thallid', 'Sprout Swarm', 'Spore Swarm', 'Selesnya Guildmage', 'Elvish Farmer', 'Rith, the Awakener', ""Rith's Charm"", 'Overgrown Armasaur', 'Tendershoot Dryad', 'Tana, the Bloodsower', 'Morbid Bloom', 'Bramble Elemental', 'Necrogenesis', 'Mycologist', 'Korozda Guildmage', 'Thallid Devourer', 'Fungal Rebirth', 'Saproling Migration', 'Scatter the Seeds', 'Tukatongue Thallid', 'Deathbloom Thallid', 'Jund Battlemage', 'Spontaneous Generation', 'Supply // Demand', 'Mycoloth', 'Dreampod Druid', 'Saproling Infestation', 'Sporesower Thallid', 'Ghave, Guru of Spores', 'Pallid Mycoderm', 'Artifact Mutation', 'Sprouting Thrinax', 'Flash Foliage', 'Verdant Embrace', 'Sarpadian Empires, Vol. VII', 'Nemata, Primeval Warden', 'Greener Pastures', 'Grand Ossuary', 'Seed Spark', 'Slimefoot, the Stowaway']}","Fungal Infection, Sporoloth Ancient, Fungal Plots, Undercellar Myconid, Aura Mutation, Sporemound, Thallid Germinator, Spore Burst, Sporeweb Weaver, Fists of Ironwood, Fungal Sprouting, Savage Thallid, Night Soil, Sporogenesis, Psychotrope Thallid, Deathspore Thallid, Saproling Cluster, Golgari Germination, Sprout, Yavimaya Sapherd, Thallid, Thallid Shell-Dweller, Utopia Mycon, Selesnya Evangel, Last Stand, Pollenbright Wings, Slimefoot and Squee, Nemata, Grove Guardian, Aether Mutation, Saproling Symbiosis, Thelonite Hermit, Jade Mage, Death Mutation, Druidic Satchel, Ulasht, the Hate Seed, Verdant Force, The Weatherseed Treaty, Verdeloth the Ancient, Vitu-Ghazi, the City-Tree, Vitaspore Thallid, Sprout Swarm, Spore Swarm, Selesnya Guildmage, Elvish Farmer, Rith, the Awakener, Rith's Charm, Overgrown Armasaur, Tendershoot Dryad, Tana, the Bloodsower, Morbid Bloom, Bramble Elemental, Necrogenesis, Mycologist, Korozda Guildmage, Thallid Devourer, Fungal Rebirth, Saproling Migration, Scatter the Seeds, Tukatongue Thallid, Deathbloom Thallid, Jund Battlemage, Spontaneous Generation, Supply // Demand, Mycoloth, Dreampod Druid, Saproling Infestation, Sporesower Thallid, Ghave, Guru of Spores, Pallid Mycoderm, Artifact Mutation, Sprouting Thrinax, Flash Foliage, Verdant Embrace, Sarpadian Empires, Vol. VII, Nemata, Primeval Warden, Greener Pastures, Grand Ossuary, Seed Spark, Slimefoot, the Stowaway","","T10E","","","Saproling","","","1","Token Creature — Saproling","Token, Creature","e5f8bf25-2f3e-59c6-a59e-313184ee43db",""
"Ron Spencer","dab52c11-0564-4207-a4a1-c1735c946a65","","paper","default","black","","",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"Flying","English","token","Wasp","6","","","","","1","setpromo","{'reverseRelated': ['The Hive']}","The Hive","","T10E","","","Insect","","Flying","1","Token Artifact Creature — Insect","Token, Artifact, Creature","ce98066c-a3a1-51a2-bffc-12c38ef45905",""
"Izzy","2c3d2473-ff5d-4309-8194-e0b2def2ab65","","paper","","black","","",NA,"","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","token","Eldrazi Scion","1","","","","","1","","{'reverseRelated': ['Incubator Drone', 'Blisterpod', 'Drowner of Hope', 'Blight Herder', 'From Beyond', 'Birthing Hulk', 'Void Attendant', 'Spawning Bed', 'Catacomb Sifter', 'Sifter of Skulls', 'Call the Scions', 'Adverse Conditions', 'Brood Monitor', 'Brood Butcher', 'Vile Redeemer', 'Grave Birthing', 'Carrier Thrall', 'Eldrazi Skyspawner', 'Eyeless Watcher', 'Warping Wail', 'Abstruse Interference', 'Scion Summoner']}","Incubator Drone, Blisterpod, Drowner of Hope, Blight Herder, From Beyond, Birthing Hulk, Void Attendant, Spawning Bed, Catacomb Sifter, Sifter of Skulls, Call the Scions, Adverse Conditions, Brood Monitor, Brood Butcher, Vile Redeemer, Grave Birthing, Carrier Thrall, Eldrazi Skyspawner, Eyeless Watcher, Warping Wail, Abstruse Interference, Scion Summoner","","T2X2","","","Eldrazi, Scion","","Sacrifice this creature: Add {C}.","1","Token Creature — Eldrazi Scion","Token, Creature","7cba0b1c-2752-57f2-bdee-e0f45123aa54",""
"Daniel Ljunggren","0fbd4798-76eb-46d5-a5d4-1e3a25870e34","","paper","","black","","",NA,"","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","token","Spirit","2","","","","","1","","{'reverseRelated': ['One with the Kami', ""Sekki, Seasons' Guide"", 'Release to Memory', 'Spiritual Visit', 'Searchlight Companion', 'Go-Shintai of Shared Purpose', 'Promise of Bunrei', 'Dripping-Tongue Zubera', 'Baku Altar', 'Akki Ember-Keeper', 'The Restoration of Eiganjo // Architect of Restoration', ""Honden of Life's Web"", ""Gods' Eye, Gate to the Reikai"", 'Concord with the Kami', 'Myojin of Blooming Dawn', 'Sokenzan, Crucible of Defiance', 'Teachings of the Kirin // Kirin-Touched Orochi', 'Forbidden Orchard']}","One with the Kami, Sekki, Seasons' Guide, Release to Memory, Spiritual Visit, Searchlight Companion, Go-Shintai of Shared Purpose, Promise of Bunrei, Dripping-Tongue Zubera, Baku Altar, Akki Ember-Keeper, The Restoration of Eiganjo // Architect of Restoration, Honden of Life's Web, Gods' Eye, Gate to the Reikai, Concord with the Kami, Myojin of Blooming Dawn, Sokenzan, Crucible of Defiance, Teachings of the Kirin // Kirin-Touched Orochi, Forbidden Orchard","","T2X2","","","Spirit","","","1","Token Creature — Spirit","Token, Creature","833fee32-d935-51e4-b378-8fa466620a49",""
"Grzegorz Rutkowski","b5f49d0d-8056-48e3-b614-090e656b4f9c","","paper","","black","W","W",NA,"","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"Flying, Vigilance","English","token","Angel","3","","","","","4","","{'reverseRelated': ['Valkyrie Harbinger', 'Parhelion II', 'Resplendent Angel', 'Rampage of the Valkyries', 'Divine Visitation', 'Finale of Glory', 'Jenson Carthalion, Druid Exile', 'Serra the Benevolent', ""Historian's Boon""]}","Valkyrie Harbinger, Parhelion II, Resplendent Angel, Rampage of the Valkyries, Divine Visitation, Finale of Glory, Jenson Carthalion, Druid Exile, Serra the Benevolent, Historian's Boon","","T2X2","","","Angel","","Flying, vigilance","4","Token Creature — Angel","Token, Creature","4ad6b1d3-c030-52bd-a568-6134cd2ea3ed",""
"Jakub Kasper","36901417-ce61-4636-8b77-6db14a9cb68a","","paper","","black","W","W",0.05,"","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"Flying","English","token","Aven Initiate","4","","","","","3","","","","","T2X2","","","Zombie, Bird, Warrior","","Flying","2","Token Creature — Zombie Bird Warrior","Token, Creature","03462caa-c066-5f44-8af9-5932944e808b",""
