cardNumber,setCode,commander,foil
19,J22,Y,
307,ONE,,
254,ONE,,
485,J22,,
387,J22,,
480,J22,,
122,J22,,
777,J22,,
225,ONE,,
308,ONE,,
113,NEO,,Y
360,MOC,,
290,ONE,,
284,AFR,,
384,J22,,
412,J22,,
344,NEO,,
98,KHM,,
24,J22,,
392,J22,,
93,ONE,,
289,ONE,,
97,ONE,,
83,ONE,,
110,DMR,,
466,J22,,
490,J22,,
87,ONE,,
117,NEO,,Y
9,ONE,,
226,AFC,,
409,J22,,
318,NEO,,Y
259,ONE,,
103,A25,,
71,J22,,
342,NEO,,
79,WAR,,
279,DMU,,
279,DMU,,
70,SOK,,
207,M10,,
73,RTR,,
209,LTC,,
99,THB,,
124,CHK,,
284,TSR,,
272,PIP,,
253,DMR,,
275,LCI,,
312,C21,,
249,ELD,,
272,VOW,,
272,VOW,,
273,VOW,,
264,BFZ,,
289,LCI,,
289,LCI,,
289,LCI,,
272,VOW,,
264,WOE,,Y
276,SNC,,
277,SNC,,
269,ONE,,
276,SNC,,
273,MID,,
277,LTR,,Y
264,ONE,,
105,J22,,
106,J22,,
104,J22,,
105,J22,,
106,J22,,
105,J22,,
104,J22,,
111,BRO,,
69,2X2,,
37,WOT,,
106,MKM,,
110,LCI,,
74,J22,,
94,VOW,,
152,CMR,,Y
117,ONE,,
425,RVR,,
110,KHM,,
94,MKM,,
130,MKC,,
3,REX,,
421,LTR,,
101,DOM,,
116,WOE,,
84,DMU,,
139,C14,,
113,MID,,
452,J22,,
127,M21,,
92,LCI,,
70,2X2,,
97,LCI,,
86,MM2,,
90,ONE,,
91,2X2,,
47,PIP,,
126,MKC,,
357,2X2,,
112,ONE,,
237,ELD,,
414,CMM,,
58,ONC,,
301,2XM,,
255,SHM,,
92,CHR,,
