cardNumber,setCode,commander,foil
303,ELD,,
205,CMM,,
169,CMM,,
320,CMM,,
110,CMM,,
200,CMM,,
231,CMM,,
331,CMM,,
5,CMM,,
85,CMM,,
92,CMM,,
46,CMM,,
70,CMM,,
125,CMM,,
128,CMM,,
144,CMM,,
16,CMM,,
165,CMM,,
139,CMM,,
359,CMM,,
215,CMM,,
144,CMM,,
120,CMM,,
32,CMM,,
147,CMM,,
13,CMM,,
42,CMM,,
427,CMM,,
401,CMM,,
45,CMM,,
434,CMM,,
196,CMM,,
682,CMM,,
181,CMM,,
60,CMM,,
77,CMM,,
161,CMM,,
316,CMM,,
334,CMM,,
387,CMM,,
151,CMM,,
394,CMM,,
376,CMM,,
74,CMM,,
303,CMM,,
148,CMM,,
227,CMM,,
295,CMM,,
68,CMM,,
155,CMM,,
10,CMM,,
105,CMM,,
213,CMM,,
337,CMM,,
51,CMM,,
348,CMM,,
167,CMM,,
650,CMM,,
71,CMM,,
272,CMM,,
265,CMM,,
666,CMM,,
121,CMM,,
137,CMM,,
122,CMM,,
353,CMM,,
197,CMM,,
407,CMM,,
681,CMM,Y,Y
642,CMM,,
370,CMM,,
403,CMM,,
404,CMM,,
380,CMM,,
412,CMM,,
385,CMM,,
267,CMM,,
260,CMM,,
356,CMM,,
351,CMM,,
671,CMM,,
226,CMM,,
282,CMM,,
133,CMM,,
194,CMM,,
131,CMM,,
411,CMM,,
367,CMM,,
339,CMM,,
345,CMM,,
649,CMM,,
658,CMM,,
131,CMM,,
419,CMM,,
428,CMM,,
302,CMM,,
279,CMM,,
410,CMM,,
409,CMM,,
305,CMM,,
47,CMM,,
641,CMM,,
199,CMM,,
135,CMM,,
116,CMM,,
90,CMM,,
98,CMM,,
132,CMM,,
233,CMM,,
311,CMM,,
226,CMM,,
642,CMM,,
653,CMM,,
7,CMM,,
63,CMM,,
25,CMM,,
312,CMM,,
288,CMM,,
49,CMM,,
21,CMM,,
136,CMM,,
20,CMM,,
262,CMM,,
624,CMM,,
171,CMM,,
143,CMM,,
141,CMM,,
188,CMM,,
234,CMM,,
275,CMM,,
315,CMM,,
18,CMM,,
11,CMM,,
326,CMM,,
66,CMM,,
646,CMM,,
142,CMM,,
153,CMM,,
17,CMM,,
281,CMM,,
192,CMM,,
96,CMM,,
426,CMM,,
425,CMM,,
33,CMM,,
356,CMM,,
138,CMM,,
661,CMM,,
300,CMM,,
284,CMM,,
321,CMM,,
269,CMM,,
430,CMM,,
429,CMM,,
270,CMM,,
399,CMM,,
38,CMM,,
178,CMM,,
653,CMM,,
115,CMM,,
372,CMM,,
378,CMM,,
418,CMM,,
389,CMM,,
416,CMM,,
221,CMM,,
243,CMM,,
129,CMM,,
642,CMM,,
637,CMM,,
182,CMM,,
154,CMM,,
64,CMM,,
26,CMM,,
256,CMM,,
217,CMM,,
313,CMM,,
332,CMM,,
330,CMM,,
15,CMM,,
168,CMM,,
398,CMM,,
249,DOM,,
649,CMM,,
62,CMM,,
44,CMM,,
400,CMM,,
383,CMM,,
374,CMM,,
377,CMM,,
72,CMM,,
157,CMM,,
201,CMM,,
62,CMM,,
632,CMM,,
628,CMM,,
69,CMM,,
278,CMM,,
323,CMM,,
328,CMM,,
67,CMM,,
36,CMM,,
23,CMM,,
22,CMM,,
268,CMM,,
97,CMM,,
384,CMM,,
648,CMM,,
93,CMM,,
285,CMM,,
178,CMM,,
66,CMM,,
257,CMM,,
248,CMM,,
421,CMM,,
414,CMM,,
20,CMM,,
687,CMM,,
622,CMM,,
56,CMM,,
61,CMM,,
99,CMM,,
322,CMM,,
277,CMM,,
91,CMM,,
145,CMM,,
271,CMM,,
237,CMM,,
78,CMM,,
432,CMM,,
638,CMM,,
143,CMM,,
141,CMM,,
188,CMM,,
234,CMM,,
175,CMM,,
185,CMM,,
82,CMM,,
112,CMM,,
38,CMM,,
100,CMM,,
377,CMM,,
648,CMM,,
159,CMM,,
58,CMM,,
81,CMM,,
314,CMM,,
373,CMM,,
368,CMM,,
186,CMM,,
8,CMM,,
230,CMM,,
136,CMM,,
323,CMM,,
630,CMM,,
420,CMM,,
423,CMM,,
422,CMM,,
48,CMM,,
211,CMM,,
250,CMM,,
406,CMM,,
224,CMM,,
50,CMM,,
38,CMM,,
661,CMM,,
637,CMM,,
432,CMM,,
433,CMM,,
431,CMM,,
297,CMM,,
190,CMM,,
156,CMM,,
52,CMM,,
307,CMM,,
322,CMM,,
657,CMM,,
223,CMM,,
262,CMM,,
264,CMM,,
83,CMM,,
107,CMM,,
134,CMM,,
106,CMM,,
75,CMM,,
162,CMM,,
109,CMM,,
622,CMM,,
43,CMM,,
149,CMM,,
242,CMM,,
208,CMM,,
170,CMM,,
318,CMM,,
255,CMM,,
117,CMM,,
634,CMM,,
86,CMM,,
87,CMM,,
174,CMM,,
220,CMM,,
102,CMM,,
225,CMM,,
296,CMM,,
109,CMM,,
194,CMM,,
660,CMM,,
175,CMM,,
185,CMM,,
43,CMM,,
149,CMM,,
242,CMM,,
208,CMM,,
183,CMM,,
230,CMM,,
168,CMM,,
99,CMM,,
632,CMM,,
19,CMM,,
152,CMM,,
301,CMM,,
6,CMM,,
249,CMM,,
113,CMM,,
166,CMM,,
204,CMM,,
307,CMM,,
402,CMM,,
676,CMM,,
119,CMM,,
212,CMM,,
239,CMM,,
229,CMM,,
210,CMM,,
382,CMM,,
415,CMM,,
204,CMM,,
209,CMM,,
277,CMM,,
192,ELD,,
