cardNumber,setCode,commander,foil
254,M19,,
7,CC1,,
113,MID,,
269,STX,,Y
200,AFR,,
266,M21,,Y
273,ZNR,,Y
158,CMR,,
112,ZNR,,Y
284,KHM,,
313,C21,,
244,BRO,,
297,CMR,,
350,ELD,,
103,M21,,
254,KHM,,
279,ZNR,,
267,AFC,,
278,NEO,,
290,C21,,
192,KLD,,
3,CC2,,
69,2X2,,
392,C21,,
148,SNC,,
59,GK1,,
198,M20,,
207,STX,,
63,C21,,
82,MM2,,
99,THB,,
280,KHM,,Y
285,KHM,,
36,C21,,
46,C21,,
306,ZNR,,Y
252,DMU,,
333,STX,,
8,CC1,,
274,M21,,Y
70,2X2,,
112,MID,,
274,KHM,,
372,2X2,,
122,M21,,
266,M21,,
270,CMR,,
209,DMU,,
214,M20,,
275,STX,,Y
228,CMR,,
150,CMR,,
280,KHM,,
97,WAR,,
267,M21,,Y
248,M15,,
281,KHM,,
288,DMU,,
208,SLD,,
86,STX,,
70,J22,,
178,STX,Y,
275,C21,,
163,STX,,
318,M21,,Y
168,DOM,,
2,CC2,,
172,STX,,
69,C21,,
817,CLB,,
280,ZNR,,
241,ELD,,
273,ZNR,,
285,KHM,,Y
281,KHM,,
54,KHC,,
108,DMR,,
6,CC2,,
36,GNT,,
160,MH2,,
152,CMR,,
127,M21,,
369,DMU,,
256,AFR,,
127,TSR,,
750,CLB,,
272,ZNR,,
353,ICE,,
132,BOK,,
235,RTR,,
145,PLC,,
105,CSP,,
161,RAV,,
225,RAV,,
260,CMD,,
255,C13,,
174,FUT,,
132,WWK,,
3,PLG21,,
237,MIR,,
