cardNumber,setCode,commander,foil
1,M19,,
1,PLG22,,
3,CMR,,
5,F15,,Y
10,SLX,,
2,LTR,,
13,MOR,,
32,C15,,
34,VOC,,
37,CLB,,
38,SCD,,
45,CLB,,
58,BNG,,
68,ZNC,,
69,5ED,,
75,J22,,
94,MH1,,
98,KHM,,
99,WAR,,
99,VOW,,
100,SOI,,
108,EMA,,
114,MOR,,
415,LTR,,
126,M21,,
128,EVE,,
128,MOR,,
132,GRN,,
132,DGM,,
137,MOR,,
138,2X2,,
142,ZNC,,
142,2X2,,Y
144,LRW,,
147,MOR,,
148,STX,,
155,IMA,,
162,EMN,,
165,THB,,
168,NEC,,
169,C13,,
176,ELD,,
177,M21,,
180,ZNR,,
172,LTR,,
183,GTC,,
186,BRO,,
187,C18,,
190,M19,,
190,ELD,,
198,VOW,,
199,M19,,
200,M19,,
200,M21,,
201,2X2,Y,
207,DTK,,
208,M21,,
223,RTR,,
226,AFC,,
230,VOW,,
230,WAR,,
239,SOI,,
239,LRW,,
241,KTK,,
247,SNC,,Y
248,IKO,,
260,CMR,,
264,USG,,
268,MID,,
268,MID,,Y
269,MID,,
269,NEO,,
269,MID,,Y
269,MID,,
272,MID,,
272,MID,,
273,MID,,
273,MID,,
276,MID,,Y
276,MID,,
276,MID,,Y
276,MID,,
276,MID,,Y
277,MID,,
277,MID,,Y
277,MID,,Y
277,MID,,Y
277,MID,,
283,NCC,,
283,TMP,,
256,LTR,,
301,2X2,,
302,C21,,
303,IKO,,
330,2X2,,
352,10E,,
371,2X2,,
406,2X2,,
409,2X2,,Y
900,CLB,,
