cardNumber,setCode,commander,foil
185,ODY,,
277,LCI,,
18,LCI,,
199,LCI,,
200,LCI,,
201,LCI,,
168,LCI,,
152,LCI,,
254,LCI,,
227,LCI,,
331,LCI,,
145,LCI,,
8,LCI,,
268,LCI,,
118,LCI,,
104,LCI,,
95,LCI,,
100,LCI,,
22,LCI,,
25,LCI,,
251,LCI,,
128,LCI,,
325,LCI,,
256,LCI,,
255,LCI,,
291,LCI,,
71,LCI,,
144,LCI,,
203,LCI,,
207,LCI,,
51,LCI,,
179,LCI,,
178,LCI,,
6,LCI,,
300,LCI,,
221,LCI,,
177,LCI,,
268,LCI,,
140,LCI,,
202,LCI,,
106,LCI,,
110,LCI,,
90,LCI,,
91,LCI,,
42,LCI,,
272,LCI,,
303,LCI,,
113,LCI,,
28,LCI,,
275,LCI,,
57,LCI,,
140,LCI,,
202,LCI,,
106,LCI,,
150,LCI,,
16,LCI,,
8,LCI,,
17,LCI,,
146,LCI,,
223,LCI,,
130,LCI,,
275,LCI,,
89,LCI,,
105,LCI,,
190,LCI,,
149,LCI,,
11,LCI,,
125,LCI,,
220,LCI,,
86,LCI,,
197,LCI,,
283,LCI,,
14,REX,,
246,LCI,,
273,LCI,,
72,LCI,,
77,LCI,,
31,LCI,,
57,LCI,,
111,LCI,,
224,LCI,,
96,LCI,,
164,LCI,,
137,LCI,,
303,LCI,,
290,LCI,,
49,LCI,,
253,LCI,,
131,LCI,,
172,LCI,,
68,LCI,,
59,LCI,,
93,LCI,,
10,LCI,,
329,LCI,,
234,LCI,,
22,LCI,,
273,LCI,,
70,LCI,,
66,LCI,,
15,LCI,,
112,LCI,,
130,LCI,,
236,LCI,,
48,LCI,,
74,LCI,,
129,LCI,,
249,LCI,,
162,LCI,,
290,LCI,,
163,LCI,,
24,LCI,,
209,LCI,,
210,LCI,,
84,LCI,,
120,LCI,,
102,LCI,,
33,LCI,,
60,LCI,,
228,LCI,,
200,LCI,,
277,LCI,,
3,LCI,,
38,LCI,,
37,LCI,,
42,LCI,,
272,LCI,,
54,LCI,,
50,LCI,,
29,LCI,,
299,LCI,,
126,LCI,,
49,LCI,,
21,REX,,
10,LCC,,
2,REX,,
103,VOW,,
274,LCI,,
37,LCI,,
49,LCI,,
253,LCI,,
263,LCI,,
79,LCI,,
148,LCI,,
286,LCI,,
62,LCI,,
338,LCI,,
80,LCI,,
262,LCI,,
287,LCI,,
28,LCI,,
27,LCI,,
40,LCI,,
154,LCI,,
252,LCI,,
22,LCI,,
25,LCI,,
298,LCI,,
193,LCI,,
7,LCI,,
279,LCI,,
64,LCI,,
138,LCI,,
2,LCI,,
116,LCI,,
194,LCI,,
213,LCI,,
186,LCI,,
19,LCI,,
306,LCI,,
191,LCI,,
323,LCI,,
288,LCI,,
210,LCI,,
84,LCI,,
72,LCI,,
77,LCI,,
31,LCI,,
251,LCI,,
226,LCI,,
141,LCI,,
83,LCI,,
98,LCI,,
107,LCI,,
273,LCI,,
40,LCI,,
154,LCI,,
250,LCI,,
248,LCI,,
247,LCI,,
143,LCI,,
252,LCI,,
322,LCI,,
269,LCI,,
170,LCI,,
268,LCI,,
82,LCI,,
99,LCI,,
46,LCI,,
75,LCI,,
85,LCI,,
5,LCI,,
260,LCI,,
139,LCI,,
155,LCI,,
158,LCI,,
90,LCI,,
268,LCI,,
250,LCI,,
248,LCI,,
163,LCI,,
24,LCI,,
209,LCI,,
224,LCI,,
96,LCI,,
91,LCI,,
310,LCI,,
241,LCI,,
250,LCI,,
276,LCI,,
13,LCI,,
45,LCI,,
9,LCI,,
28,LCI,,
27,LCI,,
87,LCI,,
97,LCI,,
124,LCI,,
195,LCI,,
94,LCI,,
202,LCI,,
287,LCI,,
177,LCI,,
174,LCI,,
35,LCI,,
159,LCI,,
198,LCI,,
184,LCI,,
215,LCI,,
108,LCI,,
12,LCI,,
153,LCI,,
18,SHM,,
5,SPG,,
35,KHC,,
120,LRW,,
276,LCI,,
169,LCI,,
136,LCI,,
259,LCI,,
69,LCI,,
109,LCI,,
216,LCI,,
133,LCI,,
165,LCI,,
128,LCI,,
225,LCI,,
168,LCI,,
279,LCI,,
73,LCI,,
117,LCI,,
7,LCI,,
132,LCI,,
242,LCI,,
270,LCI,,
58,LCI,,
302,LCI,,
351,LCI,,
39,LCI,,
44,LCI,,
279,LCI,,
205,LCI,,
30,LCI,,
206,LCI,,
182,LCI,,
166,LCI,,
76,LCI,,
103,LCI,,
107,LCI,,
323,LCI,,
196,LCI,,
140,LCI,,
273,LCI,,
168,LCI,,
4,LCI,,
255,LCI,,
124,LCI,,
120,LCI,,
102,LCI,,
33,LCI,,
111,LCI,,
195,LCI,,
235,LCI,,
46,LCI,,
288,LCI,,
214,LCI,,
175,LCI,,
53,LCI,,
192,LCI,,
218,LCI,,
173,LCI,,
245,LCI,,
