cardNumber,setCode,commander,foil
4,NEC,,
304,LCI,,Y
8,2X2,,
13,NEO,,
412,2X2,,
15,SNC,,
16,DMU,,
18,M21,,
295,NEO,,
296,NEO,,Y
24,LTR,,
31,DMR,,
36,VOW,,
37,CMR,,
38,LTC,,
42,NEC,,
743,J22,,
55,WOT,,Y
58,WOT,,
68,ONC,,
177,M21,,
157,2X2,,
410,CMM,,
163,MIC,,
170,DMR,,
267,ONE,,
175,DMU,,
181,2X2,,
185,ZNR,,
186,M19,,
187,ZNR,,
193,2X2,,
400,2X2,,
195,2X2,,
198,ZNR,,
198,MOM,,
201,ONE,,
266,WOE,,
203,ZNR,,
221,KHM,,
302,NEO,,Y
240,CMR,,
242,WOE,,
248,DMR,,
249,KHM,,
250,2X2,,
251,KHM,,
254,ONE,,
257,M21,,
257,KHM,,
258,ONE,,Y
259,CMR,,
261,LTR,,
264,KHM,,
266,KHM,,
272,LTR,,
272,LTR,,
272,LTR,,Y
273,LTR,,
274,LTR,,Y
274,LTR,,
280,NEO,,
280,LTR,,
280,LTR,,Y
281,LTR,,
285,2X2,,
293,KHM,,
10,ONE,,
295,CMM,,
257,SNC,,
310,2X2,,
319,LTR,,
326,LTR,,
328,2X2,,
330,AFR,,
339,CMM,,
351,LTC,,Y
354,CMR,,
16,AFC,,
147,RIX,,
386,MOM,,Y
249,VOW,,
420,CMM,,
420,LTR,,Y
421,CMM,,
422,CMM,,
428,CMM,,
431,LTR,,Y
440,LTR,,Y
498,LTC,Y,Y
500,LTC,,Y
502,LTC,,Y
624,CMM,,
630,CMM,,
632,CMM,,Y
885,CMM,,
155,2X2,,Y
649,CMM,,
653,CMM,,
64,2X2,,
