cardNumber,setCode,commander,foil
139,C19,,
281,C19,,
287,ZNR,,
257,C13,,
221,C19,,
301,CLB,,
35,C19,,
158,C19,,
129,2X2,,
143,C19,,
242,C19,,
300,C19,,
77,C19,,
2,ONC,,
261,C19,,
415,NEO,,
286,C19,,
277,C19,,
177,C19,,
157,C19,,
257,M20,,
197,C21,,
249,C19,,
185,MIC,,
25,C19,,
48,J22,,
125,AKH,,
32,C19,,
272,C19,,
241,EMA,,
178,C19,,
257,C19,,
256,C19,,
270,C19,,
297,C19,,
26,C19,,
203,C19,,
271,C19,,
223,C19,,
302,C19,,
62,KHC,,
31,2X2,,
219,C19,,
531,CLB,,
420,LTR,,Y
266,VOW,,
217,DOM,,
55,C19,,
151,LTR,,
65,C19,,
206,C19,,
175,C15,,
165,C19,,
41,MID,,
298,CLB,,
163,C19,,
195,C19,,
74,C19,,
250,SNC,,
176,C19,,
204,C19,,
225,MOM,,
353,DMR,,
167,C19,,
68,ONC,,
289,SNC,,
33,C19,,
204,40K,,
168,C19,,
165,ROE,,
179,2X2,,
231,C19,,
126,ONC,,
255,C19,,
208,C19,,
290,C19,,
237,C19,,
299,C19,,
300,C19,,
217,C19,,
203,CN2,,
141,C19,,
241,C19,,
227,C19,,
159,C19,,
28,MM3,,
302,C19,,
180,C19,,
288,C19,,
236,C19,,
245,C19,,
233,C19,,
193,C19,,
250,C19,,
162,C19,,
193,SNC,,
175,CHK,,
7,DGM,,
233,INV,,
42,C19,Y,
