cardNumber,setCode,commander,foil
7,CC2,,
17,WOT,,
37,STX,,
211,M10,,
44,WOT,,
264,ZNR,,
125,DMR,,
63,M21,,
65,AKH,,
68,M10,,
72,KHM,,
75,M15,,
83,MID,,
86,CMM,,
87,VOW,,Y
103,CMR,,
106,ZNC,,
107,CMM,,
110,BNG,,
113,2X2,,
119,40K,,
119,DMU,,
123,RAV,,
124,40K,Y,
126,M20,,
129,C14,,
131,SNC,,
144,DMR,,
147,ELD,,
148,AFC,,
150,M12,,
155,VOW,,
155,OGW,,
158,M19,,
161,SOI,,
164,VOW,,Y
164,MID,,
181,JMP,,
186,KLD,,
191,40K,,
205,40K,,
210,MID,,
317,LCI,,
229,CMM,,
230,2X2,,
232,DMC,,
235,NCC,,
236,DMU,,
243,ELD,,
244,CMM,,
245,LTR,,
248,C20,,
251,SNC,,
258,DMR,,
263,M21,,Y
265,M21,,
269,ZNR,,
269,ZNR,,
270,ZNR,,
270,ZNR,,Y
271,ZNR,,
271,ZNR,,
275,ZNR,,
275,ZNR,,
275,ZNR,,
276,ZNR,,
276,ZNR,,Y
276,NEO,,
276,ZNR,,
277,NEO,,Y
277,ZNR,,
278,STX,,
120,CMM,,
295,NEO,,
299,MOM,,
300,CLB,,
300,NEO,,Y
344,CLB,,
346,CMR,,
349,CMR,,
351,CLB,,
352,CLB,,
357,CMR,,
364,2X2,,
66,MMQ,,
398,CMM,,
408,2X2,,
414,NEO,,
418,DMR,,
425,CMM,,
434,CMM,,
478,SLD,,
482,SLD,,
606,J22,,
632,CMM,,
657,CMM,,
660,CMM,,
730,CLB,,
806,J22,,
851,CLB,,
