cardNumber,setCode,commander,foil
109,KHM,,
72,KHC,,
9,KHC,,
398,KHM,,
170,DMU,,
67,KHC,,
51,KHC,,
268,KHM,,
74,KHC,,
259,C20,,
396,KHM,,
56,KHC,,
396,KHM,,
55,KHC,,
246,LTR,,
68,KHC,,
108,CMA,,
115,KHC,,
398,KHM,,
132,2X2,,
110,KHM,,
92,CMA,,
83,KHC,,
398,KHM,,
111,KHC,,
280,CMM,,
59,KHC,,
261,MH2,,
237,CLB,,
258,XLN,,
396,KHM,,
320,2X2,,
398,KHM,,
297,C21,,
296,KHM,,
391,KHM,,
108,KHC,,
76,KHC,,
318,ONE,,
104,KHC,,
14,KHC,,
89,KHC,,
99,ORI,,
168,DOM,,
172,C16,,
167,DMU,,
398,KHM,,
91,KHC,,
49,KHC,,
117,KHC,,
339,ZNR,,
10,KHC,,
92,KHC,,
212,KHM,,
396,KHM,,
396,KHM,,
166,CMA,,
328,2XM,,
396,KHM,,
396,KHM,,
396,KHM,,
396,KHM,,
398,KHM,,
398,KHM,,
190,KHM,,
441,DMR,,
239,DMR,,
80,KHC,,
75,KHC,,
138,FRF,,
15,KHC,,
113,KHC,,
57,KHC,,
54,KHC,,
378,KHM,,
1,KHC,Y,Y
167,KHM,,Y
234,CMR,,Y
408,C21,,
110,KHC,,
4,CC1,,
86,KHC,,
69,KHC,,
12,KHC,,
56,GK1,,
398,KHM,,
398,KHM,,
398,KHM,,
398,KHM,,
398,KHM,,
63,KHC,,
96,KHC,,
90,KHC,,
112,KHC,,
210,C14,,
60,KHC,,
339,ONE,,
48,KHC,,
13,KHC,,
121,CMR,,
186,INV,,
