cardNumber,setCode,commander,foil
37,ZNR,,
297,NEO,,Y
353,CMR,,Y
298,NEO,,
374,KHM,,
93,SNC,,
40,NEC,,
44,NEC,,
93,ONE,,Y
394,KHM,,
35,CLB,,
195,STX,,
229,STX,,
38,ZNR,,
396,KHM,,
297,NEO,,
281,NEO,,
222,MOM,,
293,NEO,,
297,NEO,,Y
246,DMU,,
314,M21,,
78,C19,,
21,ZNC,,
301,2X2,,
185,STX,,
477,SLD,,
396,KHM,,
74,J22,,
16,2X2,,Y
299,2X2,,
365,NEO,,
15,SNC,,
233,STX,,
524,CLB,,
31,2X2,,
11,SNC,,
190,2X2,,
29,CLB,,
114,CLB,,
286,CMR,Y,
1125,SLD,,
316,2X2,,Y
32,2X2,,
33,KHM,,
73,2X2,,
276,KHM,,
276,KHM,,Y
226,AFC,,
38,M21,,
294,NEO,,
267,AFC,,
298,CLB,,
382,J22,,
9,KHM,,
24,KHM,,
70,2X2,,
257,DMU,,
89,NCC,,
21,M21,,
25,J22,,
127,M21,,
324,CMR,,
416,DMR,,
59,J22,,
31,MIC,,
293,NEO,,Y
14,SNC,,
377,2X2,,
446,CLB,,Y
27,ONE,,
5,CC2,,
136,C21,,
355,AFR,,
40,M21,,
370,C21,,
266,ZNR,,
55,J22,,
114,ONE,,
298,NEO,,
267,ZNR,,
274,ZNR,,
34,2X2,,
266,ZNR,,
33,MID,,
298,NEO,,
294,NEO,,
264,ONE,,
268,ZNR,,
267,ZNR,,
303,CMR,,
239,JMP,,
30,SNC,,
11,ZNR,,Y
268,ZNR,,Y
350,CMR,,
22,DDF,,
151,NPH,,
271,DMR,,
286,CMR,,
