cardNumber,setCode,commander,foil
142,KHM,Y,
184,CLB,,
122,A25,,
398,CLB,,
349,LTC,,Y
139,KHM,,
243,ELD,,
206,CLB,,
204,40K,,
161,CLB,,
116,SNC,,
121,KHM,,
169,CLB,,
153,KHM,,
240,BRO,,
1079,SLD,,
122,DMU,,
107,2X2,,
124,KHM,,
390,KHM,,
346,CMR,,
202,CLB,,
321,CLB,,
242,DMU,,
214,CMM,,
444,CLB,,
1128,SLD,,
120,2X2,,
244,XLN,,
137,ELD,,
163,40K,,
274,MID,,
274,MID,,
274,MID,,
274,MID,,
274,MID,,
274,MID,,
274,MID,,
274,MID,,
275,MID,,
275,MID,,
372,STX,,Y
372,STX,,
373,STX,,
383,ZNR,,
372,STX,,Y
372,STX,,
373,STX,,Y
373,STX,,
373,STX,,
268,SNC,,
268,SNC,,
383,ZNR,,
466,CLB,,Y
464,CLB,,
262,ELD,,
205,40K,,
309,CMR,,
361,2X2,,
357,CMR,,
133,KHM,,
134,AFR,,
147,ELD,,
239,SNC,,
293,AFR,,
322,AFR,,
118,STX,,
139,AFR,,
131,BRO,,
263,AFC,,
112,STX,,
324,CLB,,
294,TMP,,Y
124,THS,,
306,CMR,,
339,CLB,,
149,M19,,
135,KHM,,
158,AFR,,
162,MIC,,
158,KHM,,
353,AFR,,
29,ZNE,,
134,KHM,,
36,MIC,,
305,CMR,,
236,DMU,,
502,CLB,,Y
94,RIX,,Y
148,2XM,,Y
348,ZNR,,Y
191,CLB,,Y
186,ODY,,
151,AVR,,
187,4ED,,
98,SHM,,
12,BRC,,
84,JUD,,
87,WWK,,
165,ROE,,
