cardNumber,setCode,commander,foil
305,WOE,,
257,WOE,,
9,WOT,,
286,CMR,,
524,CLB,,Y
38,M21,,
374,KHM,,
22,DDF,,
5,CC2,,
32,2X2,,
316,2X2,,Y
11,SNC,,
40,NEC,,
11,ZNR,,Y
226,AFC,,
324,CMR,,
31,2X2,,
477,SLD,,
14,SNC,,
271,DMR,,
37,ZNR,,
365,NEO,,
314,M21,,
222,MOM,,
30,SNC,,
15,SNC,,
267,AFC,,
33,KHM,,
1125,SLD,,
25,J22,,
298,CLB,,
416,DMR,,
34,2X2,,
74,J22,,
350,CMR,,
257,DMU,,
73,2X2,,
281,NEO,,
303,CMR,,
24,KHM,,
55,J22,,
350,CMM,Y,Y
682,CMM,,
281,2X2,,
310,2X2,,
204,IKO,,
240,ORI,,
77,GK1,,Y
4,CMA,,
17,KHC,,
210,M20,,
214,8ED,,
150,JOU,,
263,ZNR,,
7,V15,,
233,AKH,,
8,CM2,,
34,M19,,
153,GRN,,
253,IKO,,
204,2XM,,
285,ZNR,,
447,CMR,,
382,KHM,,
94,KHM,,
4,ORI,,
8,M2O,,
110,THS,,
238,MH2,,
2,CMR,,
28,M15,,
201,DOM,,
444,CMR,,
393,KHM,,
702,CLB,,
384,DMU,,
118,GN3,,
214,LTC,,
24,IKO,,
136,DTK,,
184,CNS,,
