card_name,commander
Mizzix of the Izmagnus,Y
Mountain,
Ravenform,
Island,
Silver Scrutiny,
Curse of the Swine,
Maestros Theater,
Lightning Bolt,
"Niv-Mizzet, the Firemind",
Dwarven Mine,
Haughty Djinn,
Command Tower,
Aetherize,
Terramorphic Expanse,
Fire Diamond,
Thriving Isle,
Mountain,
"Torbran, Thane of Red Fell",
"Rowan, Scholar of Sparks // Will, Scholar of Frost",
"Sokenzan, Crucible of Defiance",
Stroke of Genius,
"Najal, the Storm Runner",
Bonus Round,
"Jori En, Ruin Diver",
Island,
Izzet Signet,
Sol Ring,
Counterflux,
Psychosis Crawler,
Urza's Rage,
Island,
Sulfur Falls,
Island,
Ponder,
Past in Flames,
Irenicus's Vile Duplication,
Explosive Singularity,
Propaganda,
Helm of Awakening,
"Vadrik, Astral Archmage",
"Jin-Gitaxias, Progress Tyrant",
Winged Boots,
Pull from Tomorrow,
Evolving Wilds,
Island,
Mizzium Mortars,
Talisman of Creativity,
Geistwave,
"Talrand, Sky Summoner",
Reverberate,
Vandalblast,
Arcane Signet,
Chaos Warp,
Rewind,
Izzet Boilerworks,
Wash Out,
Mystical Tutor,
Force of Will,
Stolen by the Fae,
Wayfarer's Bauble,
Island,
Tezzeret's Gambit,
Teach by Example,
Thousand-Year Storm,
Mountain,
Storm King's Thunder,
Doublecast,
Mindswipe,
Blasphemous Act,
Island,
Arcane Bombardment,
Island,
Relic of Legends,
Epic Experiment,
Mountain,
Flux Channeler,
Mountain,
Mountain,
Mizzix's Mastery,
Sky Diamond,
Mountain,
Prophetic Bolt,
Thought Vessel,
Explosion of Riches,
Rhystic Study,
Mountain,
Swiftwater Cliffs,
Smelt,
Mountain,
Fiery Emancipation,
Galazeth Prismari,
Island,
Island,
Comet Storm,
"Otawara, Soaring City",
Island,
Izzet Charm,
Storm-Kiln Artist,
"Errant, Street Artist",
"Shatterskull Smashing // Shatterskull, the Hammer Pass",
