cardNumber,setCode,commander,foil
270,ZNR,,
225,C20,,
241,STX,,
47,STA,,
78,CLB,,
52,DMU,,
155,OGW,,
730,CLB,,
276,ZNR,,Y
66,ELD,,
263,M21,,Y
189,STX,,
7,CC2,,
147,ELD,,
248,MID,,Y
275,ZNR,,
346,CMR,,
148,AFC,,
269,ZNR,,
106,ZNC,,
276,NEO,,Y
271,ZNR,,
236,DMU,,
278,STX,,
41,SNC,,
276,ZNR,,
129,C14,,
143,M21,,
181,JMP,,
289,AFC,,
191,40K,,
251,SNC,,
79,CMA,,
310,M21,,Y
101,MM3,,Y
235,NCC,,
277,ZNR,,
137,M19,,
583,CLB,,
299,NEO,,
390,2X2,,
279,SNC,,
189,KTK,,
187,CLB,,
67,2X2,,
478,SLD,,
265,M21,,
206,40K,,
230,2X2,,
63,M21,,
176,CMR,,
52,WAR,,
162,CMR,,
307,DMU,,
351,CLB,,
418,DMR,,
65,DMU,,
449,CLB,,
253,40K,,
257,2X2,Y,
36,JMP,,
277,NEO,,Y
72,KHM,,
295,NEO,,
248,C20,,
56,MID,,
408,2X2,,
309,CMR,,
275,ZNR,,
414,NEO,,
482,SLD,,
205,40K,,
243,ELD,,
29,C15,,
271,ZNR,,
65,AKH,,
269,ZNR,,
140,NEO,,
716,CLB,,
56,BBD,,
445,NEO,,
275,ZNR,,
265,2X2,,
158,M19,,
276,ZNR,,
115,STX,,Y
344,CLB,,
369,NCC,,
270,ZNR,,Y
295,NEO,,
354,ZNR,,
101,SNC,,
352,CLB,,
258,DMR,,
357,CMR,,
68,M10,,
145,M13,,
379,DMR,,Y
159,RTR,,
289,DMR,,
