cardNumber,setCode,commander,foil
5,SPG,,
10,LCC,,
25,REX,,
87,LCI,,
89,LCI,,
90,LCI,,Y
91,LCI,,
281,LTR,,Y
94,LCI,,
95,LCI,,
96,LCI,,
97,LCI,,
291,LCI,,Y
100,LCI,,
101,LCI,,
103,LCI,,
103,VOW,,
104,LCI,,
291,LCI,,
105,LCI,,
106,LCI,,
107,LCI,,Y
108,LCI,,
110,LCI,,
266,WOE,,Y
112,LCI,,
117,LCI,,
118,LCI,,
119,LCI,,
124,LCI,,
125,LCI,,
126,LCI,,
128,LCI,,
129,LCI,,
130,LCI,,Y
175,LCI,,
179,LCI,,
186,LCI,,
187,LCI,,
188,LCI,,
190,LCI,,
192,LCI,,
195,LCI,,
197,LCI,,
279,ZNR,,Y
199,LCI,,
279,ZNR,,
201,LCI,,
202,LCI,,Y
205,LCI,,
207,LCI,,
209,LCI,,
210,LCI,,
280,LTR,,
214,LCI,,
215,LCI,,
216,LCI,,
217,LCI,,Y
218,LCI,,
241,LCI,,
266,WOE,,
247,LCI,,
248,LCI,,
249,LCI,,
250,LCI,,
252,LCI,,
253,LCI,,
254,LCI,,
256,LCI,,
260,LCI,,
262,LCI,,
263,LCI,,
264,WOE,,
264,WOE,,
264,WOE,,
266,WOE,,
268,LCI,,
269,LCI,,
272,LCI,,
272,VOW,,
273,MID,,
273,VOW,,Y
274,ZNR,,
275,LCI,,
276,VOW,,
276,LTR,,
276,LCI,,Y
277,VOW,,Y
278,LCI,,
279,LCI,,Y
285,LCI,,
286,LCI,,
289,LCI,,
289,LCI,,
289,LCI,,
289,LCI,,
291,LCI,,
298,LCI,,
305,LCI,Y,
338,LCI,,
