cardNumber,setCode,commander,foil
21,WOE,,
34,2X2,,
314,M21,,
68,CMM,,
25,WOE,,
21,WOE,,
14,ELD,,
21,M21,,
30,CLB,,
278,AFC,,
234,J22,,
261,J22,Y,
70,CMM,,
71,CMM,,
13,CMM,,
21,ZNC,,
31,MIC,,
29,CLB,,
35,CLB,,
27,ONE,,
78,C19,,
9,KHM,,
44,NEC,,
32,CMM,,
10,CMM,,
16,CMM,,
46,CMM,,
33,MID,,
16,2X2,,
26,CLB,,
12,DMR,,
32,DMU,,
16,2X2,,
18,DOM,,
48,ONC,,
826,CMM,,
135,LCC,,
129,LCC,,
3,M19,,
96,JMP,,
82,JMP,,
41,MID,,
37,DMU,,
416,DMR,,
208,J22,,
8,J22,,
2,NEO,,
24,ONE,,
7,WOT,,
65,WOT,,
12,WOT,,
2,HOU,,
61,C19,,
111,C21,,
2,C19,,
3,C19,,
49,CLB,,
35,CLB,,
478,CLB,,
39,LCI,,
15,DMU,,
26,2X2,,
5,STA,,
1,STA,,
20,STX,,
19,DMU,,
208,J22,,
42,NEC,,
12,DMR,,
208,J22,,
208,J22,,
1,J22,,
253,J22,,
34,ONE,,
28,NEO,,
32,NEC,,
232,J22,,
4,M19,,
3,ZNC,,
60,CMM,,
45,CMM,,
39,LCI,,
1,LCI,,
41,LCI,,
20,LCI,,
333,LCI,,
12,LCI,,
14,LCI,,
34,LCI,,
441,NEO,,
363,NEO,,
312,MID,,
34,ONE,,
5,DMR,,
18,2X2,,
18,2X2,,
16,2X2,,
14,ELD,,
26,CLB,,
