cardNumber,setCode,commander,foil
73,CLB,,Y
63,ZNR,,Y
60,ZNR,,
65,4ED,,
278,KHM,,
295,NEO,,Y
55,2X2,,
85,NEO,,
296,NEO,,
83,VOW,,
71,VOW,,
107,CMR,,
369,STX,,Y
368,STX,,Y
368,STX,,Y
369,STX,,Y
89,CMR,,
91,CMR,,
69,CMR,,
59,CMR,,
64,2X2,,
66,CMR,,
70,M21,,
81,MID,,
49,NEC,,
46,2X2,,
66,2X2,,
96,CLB,,
59,DMU,,
60,M21,,
46,SNC,,
88,NCC,,
62,2X2,,
38,SNC,,
72,CLB,,
341,CMR,,
53,SOK,Y,
23,STA,,
75,USG,,
47,WTH,,
105,USG,,
260,ONE,,
413,LTR,,
259,LTR,,
75,LTR,,
65,LTR,,
263,C21,,
298,CLB,,
242,C21,,
43,ONE,,
63,ONE,,
42,ONE,,
256,ONE,,
16,J22,,
358,J22,,
114,J22,,
284,C21,,
67,DMR,,
287,DMR,,
288,DMR,,
285,DMR,,
67,IKO,,
90,CMR,,
73,DMU,,
