cardNumber,setCode,commander,foil
196,DFT,,
133,DFT,,
28,DFT,,
210,DFT,,
211,DFT,,
238,DFT,,
246,DFT,,
167,DFT,,
184,DFT,,
161,DFT,,
155,DFT,,Y
156,DFT,,
176,DFT,,
178,DFT,,
306,CMR,,
140,DFT,,
131,DFT,,
244,DFT,,
189,DFT,,
226,DFT,,Y
222,DFT,Y,
174,DFT,,
157,DFT,,
145,DFT,,
138,DFT,,
123,DFT,,Y
115,DFT,,Y
175,DFT,,
164,DFT,,
185,DFT,,
179,DFT,,Y
154,DFT,,Y
180,DFT,,
159,DFT,,Y
146,DFT,,
136,DFT,,
114,DFT,,
233,DFT,,
135,DFT,,
220,DFT,,
237,DFT,,
183,DFT,,
168,DFT,,
150,DFT,,
313,DFT,,
331,DFT,,
230,DFT,,
172,DFT,,
165,DFT,,
162,DFT,,
144,DFT,,
197,DFT,,
113,DFT,,
116,DFT,,
247,DFT,,Y
160,DFT,,
152,DFT,,Y
151,DFT,,
294,DFT,,
153,DFT,,
216,DFT,,
468,DFT,,Y
143,DFT,,
269,DFT,,
262,DFT,,
271,DFT,,
258,DFT,,
269,DFT,,Y
261,DFT,,
253,DFT,,
249,DFT,,
252,DFT,,
248,DFT,,Y
271,DFT,,
262,DFT,,
279,SNC,,
279,SNC,,
280,ZNR,,
280,SNC,,
276,OTJ,,Y
276,OTJ,,
266,WOE,,
273,SNC,,Y
272,OTJ,,
262,WOE,,
272,MKM,,Y
265,ONE,,
270,ONE,,
265,ONE,,
280,DMU,,
265,ONE,,
262,WOE,,
281,SNC,,
239,UNF,,
272,OTJ,,
280,DMU,,
265,ONE,,Y
256,WOE,,
350,CMR,,
269,DSK,,
