card_name,commander
Mishra's Factory,
Vastwood Surge,
Collective Voyage,
Rampant Growth,
Green Sun's Twilight,
Circuitous Route,
Verdant Mastery,
Pest Infestation,
Reclaim the Wastes,
Nature's Lore,
Bushwhack,
Overrun,
Titania's Command,
Awaken the Woods,
Fade from History,
Reshape the Earth,
End-Raze Forerunners,
"Titania, Voice of Gaea // Titania, Gaea Incarnate",
Blighted Woodland,
Forest,
"Argoth, Sanctum of Nature // Titania, Gaea Incarnate",
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Command Tower,
Naya Panorama,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
Forest,
"Boseiju, Who Endures",
Cabaretti Courtyard,
Forest,
Forest,
Evolving Wilds,
Field of the Dead,
Field of Ruin,
Terramorphic Expanse,
Cryptic Caves,
Forest,
Terminal Moraine,
"Azusa, Lost but Seeking",
Terravore,
Sylvan Advocate,
Rootpath Purifier,
Magus of the Order,
Deadwood Treefolk,
Perennial Behemoth,
Birds of Paradise,
Rampaging Baloths,
Lotus Cobra,
Eternal Witness,
Scaretiller,
Embodiment of Insight,
Oracle of Mul Daya,
"Titania, Protector of Argoth",Y
Bane of Progress,
Gala Greeters,
Allosaurus Shepherd,
Acidic Slime,
Scute Swarm,
"Multani, Yavimaya's Avatar",
Silklash Spider,
Thunderfoot Baloth,
Sword of Forge and Frontier,
Sensei's Divining Top,
Traveler's Amulet,
Karn's Sylex,
Darksteel Plate,
Crucible of Worlds,
Sol Ring,
Swiftfoot Boots,
Arcane Signet,
Abundance,
Harmonious Emergence,
Rites of Flourishing,
Khalni Heart Expedition,
Wild Growth,
"Nissa, Who Shakes the World",
Kamahl's Will,
Harrow,
Lull,
Tamiyo's Safekeeping,
Roiling Regrowth,
Beast Within,
Naturalize,
Hurricane,
Explore,
Kodama's Reach,
"Baru, Fist of Krosa",
