cardNumber,setCode,commander,foil
307,ZNR,,
65,C21,,
217,ZNR,,
339,ONE,,
3,CC1,,
84,ZNC,,
238,CMR,,
371,2X2,,
398,2X2,,
244,ONE,,
190,M19,,
145,C16,,
121,ZNC,,
59,ZNC,,
249,CMR,,
246,M21,,
31,C19,,
62,ZNC,,
77,ZNC,,
259,DMR,,
151,DMR,,
174,BRO,,
194,BRO,,
73,ZNC,,
308,ZNR,,
263,C19,,
154,2X2,,
250,CMA,,
234,DMU,,
124,ZNC,,
72,ZNC,,
251,DMR,,
368,2X2,,
202,BRO,,
129,ZNC,,
45,BRC,,
256,BRO,,
169,WAR,,
69,ZNC,,
201,ZNR,,
242,CMR,,
58,ZNC,,
155,CMA,,
287,MH2,Y,
117,ZNC,,
193,BRO,,
114,NEC,,
120,ZNC,,
132,2X2,,
2,CC1,,
247,M20,,
125,ZNC,,
50,BRC,,
124,RNA,,
170,BRO,,
24,BRC,,
357,CMR,,
303,2X2,,
234,A25,,
80,ZNC,,
164,C19,,
200,ZNR,,
192,ZNR,,
146,STX,,
5,CC1,,
64,ZNC,,
6,CC1,,
262,MID,,
173,M21,,
75,ZNC,,
316,2X2,,
301,NEO,,Y
301,NEO,,
302,NEO,,Y
302,NEO,,Y
271,ONE,,
266,ONE,,
266,ONE,,
266,ONE,,
266,ONE,,
266,ONE,,
410,DMR,,
410,DMR,,
411,DMR,,
411,DMR,,
266,NEO,,Y
200,NEO,,Y
249,SNC,,Y
170,DMR,,Y
450,SNC,,Y
318,STX,,Y
180,ZNR,,Y
285,MRD,,
281,ONS,,
280,CHK,,
353,ICE,,
345,DMR,,
252,7ED,,
142,FUT,,
24,DDD,,
