cardNumber,setCode,commander,foil
171,FDN,,
142,FDN,,
170,FDN,,
182,FDN,,
62,FDN,,
135,FDN,,
68,FDN,,
35,MOM,,
254,FDN,,
132,FDN,,
70,FDN,,Y
28,FDN,,
100,MOM,,
96,MOM,,
105,MOM,,
36,MOM,,
97,MOM,,
294,DFT,,
230,FIN,,
238,FIN,,
117,FIN,,
87,FIN,,
118,FIN,,
102,FIN,,Y
106,FIN,,
128,FIN,,
35,MOM,,
201,DFT,,
77,DFT,,
246,DFT,,
105,DFT,,
87,DFT,,
61,MUL,,
88,SPG,,
267,FIN,,
90,FIN,,
254,FIN,,
259,FIN,,
261,MOM,,
80,DFT,,
244,DFT,,
200,DFT,,
131,FDN,,
116,MOM,,
21,MOM,,
319,FDN,,Y
13,DFT,,
143,FDN,,
19,MOM,,
2,MOM,,
98,MOM,,
118,MOM,,
117,MOM,,
104,MOM,,
100,FIN,,Y
19,FIN,,
123,MOM,,
94,MOM,,
93,FIN,,
67,FDN,,
181,FDN,,
229,DFT,Y,
258,DFT,,
350,CMR,,
253,DFT,,
248,DFT,,Y
269,DSK,,
256,WOE,,
264,FDN,,
255,DFT,,
249,DFT,,
263,DFT,,
277,FIN,,
274,FIN,,
276,LTR,,
280,KHM,,
272,MID,,
272,MID,,
272,MID,,
273,MID,,
277,LTR,,
273,ZNR,,
264,ONE,,
264,ONE,,
264,ONE,,
264,ONE,,
276,KHM,,Y
276,KHM,,
277,KHM,,
294,NEO,,Y
273,LTR,,
272,LTR,,
272,LTR,,Y
268,VOW,,
269,MID,,
268,MID,,
268,MID,,
269,MID,,
306,CMR,,
40,MOM,,
