"name"
"Combat Celebrant"
"Boros Signet"
"Twinflame"
"Dragonmaster Outcast"
"Feldon of the Third Path"
"Flamerush Rider"
"There and Back Again"
"Beast Within"
"Colossal Majesty"
"Cultivate"
"Druid's Deliverance"
"Elemental Bond"
"Farseek"
"Splinter Twin"
"Garruk, Primal Hunter"
"Garruk's Packleader"
"Bane of Progress"
"Kiki-Jiki, Mirror Breaker"
"Rampaging Baloths"
"Sakura-Tribe Elder"
"Second Harvest"
"Aurelia, the Warleader"
"Shamanic Revelation"
"Temple of Plenty"
"Growing Ranks"
"Jetmir, Nexus of Revels"
"Naya Charm"
"Kodama's Reach"
"Neyali, Suns' Vanguard"
"Sundering Growth"
"Gruul War Chant"
"Blasphemous Act"
"Trostani, Selesnya's Voice"
"Vitu-Ghazi Guildmage"
"Wayfaring Temple"
"Lightning Greaves"
"Helm of the Host"
"Mimic Vat"
"Sol Ring"
"Soul Foundry"
"Ghalta and Mavren"
"Ash Barrens"
"Blossoming Sands"
"Boros Garrison"
"Aura Shards"
"Cinder Glade"
"Command Tower"
"Evolving Wilds"
"Maze of Ith"
"Exotic Orchard"
"Graypelt Refuge"
"Ghired's Belligerence"
"Gruul Turf"
"Jetmir's Garden"
"Jungle Shrine"
"Kazandu Refuge"
"Selesnya Signet"
"Krosan Verge"
"Temple of Triumph"
"Hate Mirage"
"Myriad Landscape"
"Sundown Pass"
"Rogue's Passage"
"Rugged Highlands"
"Selesnya Sanctuary"
"Sungrass Prairie"
"Wake the Reflections"
"Terramorphic Expanse"
"Woodland Stream"
"Cragcrown Pathway // Timbercrown Pathway"
"Plains"
"Needleverge Pathway // Pillarverge Pathway"
"Titan of Industry"
"Plains"
"Mountain"
"Arcane Signet"
"Mountain"
"Forest"
"Forest"
"Blade of Selves"
"Forest"
"Forest"
"Smothering Tithe"
"Full Flowering"
"Ohran Frostfang"
"Selesnya Eulogist"
"Worldly Tutor"
"Vanquish the Horde"
"Sokenzan, Crucible of Defiance"
"Ghired, Conclave Exile"
"Minas Tirith"
"Dutiful Replicator"
"Duke Ulder Ravengard"
"Idol of Oblivion"
"Farhaven Elf"
"Hour of Reckoning"
"Flawless Maneuver"
"Scion of Vitu-Ghazi"
"Rootborn Defenses"
"Trostani's Judgment"
