"","uuid","cardNumber","setCode","commander","foil","commander_deck","artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","side","signature","sourceProducts","subsets","subtypes","supertypes","text","toughness","type","types","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep","alchemy","brawl","commanderEDH","duel","explorer","future","gladiator","historic","legacy","modern","oathbreaker","oldschool","pauper","paupercommander","penny","pioneer","predh","premodern","standard","standardbrawl","timeless","vintage"
"1","00101d47-ae6f-54fd-9fd6-b265478229a2","75","J22","","","Doran, the Siege Tower","Yuchi Yuki","16e5e721-c42c-4ef8-bdc8-efbbe0d7f773","","","paper","default","black","","B","","B",NA,"",4120,0.7,NA,"",NA,"","nonfoil","","""Trees are to be venerated and protected . . . except that one.""\n—Marel, Dawnhart witch","","2015",NA,"","","False","True","","","","","","","","True","","","","","","Defender","English","normal","",NA,"","{3}{B}",4,"Tree of Perdition","","","Defender\n{T}: Exchange target opponent's life total with Tree of Perdition's toughness.","Creature — Plant","","0","EMN, J22, PEMN, SIR","","mythic","","","oval","","","{""nonfoil"": [""31fd15cb-48ac-52b8-8f3c-84968a601869""]}","","Plant","","Defender\n{T}: Exchange target opponent's life total with Tree of Perdition's toughness.","13","Creature — Plant","Creature","","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"","Legal","Legal","Legal","Legal","","Legal","Legal","Legal","Legal","Legal","","","","Legal","Legal","","","","","Legal","Legal"
"2","001b516c-09a3-5776-92d3-944fee7c18e6","271","ONE","","","Titania, Protector of Argoth","Mark Riddick","cf42923a-d452-4225-be49-3932262423d4","","","arena, mtgo, paper","default","black","","G","","",NA,"",NA,0.35,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","True","","","","","","True","","","","","","","Phyrexian","normal","",NA,"","",0,"Forest","","","","","","","10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BRB, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CMR, CST, DD1, DDD, DDE, DDG, DDH, DDJ, DDL, DDM, DDO, DDP, DDR, DDS, DDU, DKM, DMR, DMU, DOM, DPA, DTK, E01, ELD, EVG, FBB, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GS1, GVL, H09, HBG, HOP, HOU, ICE, IKO, INV, ISD, ITP, J14, J22, JMP, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PELP, PF19, PF20, PGPX, PGRU, PIP, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, PZ2, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SNC, SOI, SOM, STX, SUM, TD0, TD2, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC00, WC01, WC02, WC03, WC04, WC97, WC98, WC99, WHO, WOE, XANA, XLN, ZEN, ZNR","","common","","","","","","{""foil"": [""0db8ec71-b700-5355-913d-285f11687911"", ""79329b4c-afa2-5a5c-a81c-f361f93fa67d"", ""adc337bb-f85e-51c8-be52-b1d69d19893a""], ""nonfoil"": [""0db8ec71-b700-5355-913d-285f11687911"", ""79329b4c-afa2-5a5c-a81c-f361f93fa67d""]}","","Forest","Basic","({T}: Add {G}.)","","Basic Land — Forest","Land","2fc57869-a899-5d3c-8270-50e7cc317ee9, c952ea2f-c71f-5071-b07e-ad840d56bb0a, d184a3d0-65b1-5f03-84cc-a4a3eaf7d9de","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal"
"3","00605bc0-86d5-58bb-8007-1ef050832405","242","DMU","","","Magda, Brazen Outlaw","Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","arena, mtgo, paper","default","black","","","","",NA,"",5028,0.04,NA,"",NA,"","nonfoil, foil","","","legendary","2015",NA,"","","True","True","","","","","","","","","","","","","","Flying, Scry","English","normal","",NA,"","{2}",2,"Weatherlight Compleated","","","Flying\nAs long as Weatherlight Compleated has four or more phyresis counters on it, it's a Phyrexian creature in addition to its other types.\nWhenever a creature you control dies, put a phyresis counter on Weatherlight Compleated. Then draw a card if it has seven or more phyresis counters on it. If it doesn't, scry 1.","Legendary Artifact — Vehicle","","5","DMU, PDMU","","mythic","","","oval","","","{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}","","Vehicle","Legendary","Flying\nAs long as Weatherlight Compleated has four or more phyresis counters on it, it's a Phyrexian creature in addition to its other types.\nWhenever a creature you control dies, put a phyresis counter on Weatherlight Compleated. Then draw a card if it has seven or more phyresis counters on it. If it doesn't, scry 1.","5","Legendary Artifact — Vehicle","Artifact","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,"Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","","","","","Legal","","","Legal","Legal","Legal","Legal"
"4","00631b32-5cfa-551a-9b2d-5c1ad960f368","264","BFZ","","","Ashcoat of the Shadow Swarm","Tianhua X","da0e98c9-28a9-41ed-a617-ea94737438c0","","","mtgo, paper","default","black","","B","","",NA,"",NA,0.29,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","True","","","","","","True","","","","","","","English","normal","",NA,"","",0,"Swamp","","","B","Basic Land — Swamp","","","10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BRB, BRC, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CST, DDC, DDD, DDE, DDH, DDJ, DDK, DDM, DDN, DDP, DDQ, DDR, DKM, DMR, DMU, DOM, DPA, DTK, DVD, E01, ELD, FBB, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GVL, H09, HBG, HOP, HOU, ICE, IKO, INV, ISD, ITP, J14, J22, JMP, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, MD1, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PD3, PELP, PF19, PF20, PGPX, PGRU, PHUK, PIP, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SNC, SOI, SOM, STX, SUM, TD0, TD2, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC01, WC02, WC03, WC97, WC98, WC99, WHO, WOE, XANA, XLN, ZEN, ZNR","","common","","","","","","{""foil"": [""37e28375-f5ba-51e8-8e11-b6830a33b669"", ""a80b98ae-3781-5077-83a9-31907bd528e4""], ""nonfoil"": [""37e28375-f5ba-51e8-8e11-b6830a33b669"", ""a80b98ae-3781-5077-83a9-31907bd528e4""]}","","Swamp","Basic","({T}: Add {B}.)","","Basic Land — Swamp","Land","65561ead-b578-5e3f-8ed0-8e3adc66d00d, 10dac5ea-cb96-59a7-9be6-538369bbff65, d9a15b93-2fd4-5a74-af21-5acbb4a8d1bf, 18000881-a730-510f-a0c6-5cd0c020548b, e8675f08-fd0d-5129-900d-1a7df0f53fcd, 46658f14-1abd-5cd2-86a3-75cb392912ea, 9466c7c2-d80c-5993-bec6-166c16fb7acc, 31407797-89b5-5998-8e74-d64ac9909168, 7344d22a-6c88-54ad-a88b-1d56ce7da9f0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal","Legal"
"5","00920b73-8588-5362-9491-0ff41bf0a241","326","LTR","","","Galadriel, Light of Valinor","Anato Finnstark","05d233e7-4958-4f79-83e6-f9bf8b6ff78e","","","arena, mtgo, paper","","borderless","","U, W","","U, W",NA,"",3295,0.28,NA,"",NA,"","nonfoil, foil","","","legendary, showcase","2015",NA,"","","True","True","","","","","","","","","","True","","","","Vigilance, Ward","English","normal","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{W}{U}",2,"Pippin, Guard of the Citadel","","","Vigilance, ward {1}\n{T}: Another target creature you control gains protection from the card type of your choice until end of turn.","Legendary Creature — Halfling Soldier","","2","LTR, PLTR","boosterfun","rare","","","triangle","","","{""foil"": [""266de9f8-de20-5d45-a4be-842de7a5a82d"", ""331d181e-ccef-5814-bf27-347a9c57a92e"", ""396a45ae-490d-5dc7-ae59-d3e764d2556a"", ""ef7a3983-cd6e-5ff3-b85c-bc67ae1edf5c""], ""nonfoil"": [""266de9f8-de20-5d45-a4be-842de7a5a82d"", ""331d181e-ccef-5814-bf27-347a9c57a92e"", ""396a45ae-490d-5dc7-ae59-d3e764d2556a"", ""ef7a3983-cd6e-5ff3-b85c-bc67ae1edf5c""]}","","Halfling, Soldier","Legendary","Vigilance, ward {1}\n{T}: Another target creature you control gains protection from the card type of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that type.)","2","Legendary Creature — Halfling Soldier","Creature","5e3b012e-dfa5-5be4-9481-6e55c8345b13, 810fdfd6-2ecf-5737-bbc9-ff38ed992cae, 21910ec2-55e0-5ed1-9a3e-99ca48242cfd, a65a48b8-4033-560e-91db-a8d7a554bbbb","",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Legal","Legal","Legal","Legal","","","Legal","Legal","Legal","Legal","Legal","","","","Legal","","","","","","Legal","Legal"
"6","0092adb5-ab0a-5315-baa0-c389c994f52f","99","WAR","","","Doran, the Siege Tower","Chris Rallis","a8e7b854-b15a-421a-b66d-6e68187ae285","","","arena, mtgo, paper","default","black","","B","","B",NA,"",1503,0.58,NA,"",NA,"","nonfoil, foil","","","legendary","2015",NA,"","","True","True","","","","","","","","","","","","","","Menace","English","normal","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{3}{B}{B}",5,"Massacre Girl","","","","","","4","OTC, PWAR, RVR, SLD, WAR","","rare","","","oval","","","{""foil"": [""3020fb4c-6968-514c-81da-09f7f6a907ec"", ""6961d380-b121-5ecf-9e4d-f8b0f156c749""], ""nonfoil"": [""3020fb4c-6968-514c-81da-09f7f6a907ec"", ""468bc4c6-9ccc-526d-8dab-8f0d5ab7cdd7"", ""6961d380-b121-5ecf-9e4d-f8b0f156c749"", ""a0e43ef1-0b23-58f5-9457-1df62fb7e5c4"", ""dda73ce5-6049-5a22-8d8e-3555a578450b""]}","","Human, Assassin","Legendary","Menace\nWhen Massacre Girl enters the battlefield, each other creature gets -1/-1 until end of turn. Whenever a creature dies this turn, each creature other than Massacre Girl gets -1/-1 until end of turn.","4","Legendary Creature — Human Assassin","Creature","","",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"","Legal","Legal","Legal","Legal","","Legal","Legal","Legal","Legal","Legal","","","","Legal","Legal","","","","","Legal","Legal"
"7","009e6685-ebc6-5091-8c91-9fb33307ed1b","89","CMR","","","Sakashima the Impostor","Jason A. Engle","02e2b5de-4341-464c-8fdb-a1adbf873bc0","","","mtgo, paper","default","black","","U","","U",NA,"",821,0.94,NA,"",NA,"","nonfoil, foil","","","legendary","2015",NA,"","","True","True","","","","","","","","","","","","","","Partner","English","normal","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{3}{U}",4,"Sakashima of a Thousand Faces","","","You may have Sakashima of a Thousand Faces enter the battlefield as a copy of another creature you control, except it has Sakashima of a Thousand Faces's other abilities.\nThe ""legend rule"" doesn't apply to permanents you control.\nPartner (You can have two commanders if both have partner.)","Legendary Creature — Human Rogue","","3","CMR, PRM, SLD","","mythic","","","oval","","","{""foil"": [""001651e5-5141-5c9e-8f7c-b3bf3b23c148"", ""e9d6937e-7f1e-501a-afa8-0decee438eea""], ""nonfoil"": [""e9d6937e-7f1e-501a-afa8-0decee438eea""]}","","Human, Rogue","Legendary","You may have Sakashima of a Thousand Faces enter the battlefield as a copy of another creature you control, except it has Sakashima of a Thousand Faces's other abilities.\nThe ""legend rule"" doesn't apply to permanents you control.\nPartner (You can have two commanders if both have partner.)","1","Legendary Creature — Human Rogue","Creature","7009c686-a8bb-50b1-9aa8-078b1b632695","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"","","Legal","Legal","","","","","Legal","","Legal","","","","","","","","","","","Legal"
"8","00a2f73d-1eda-5265-8a4f-834ff8786a70","269","LCI","",NA,"Draft Cards","Alayna Danner","bb677b1a-ce51-4888-83d6-5a94de461ff9","","","arena, mtgo, paper","default","black","","","","",NA,"",130,0.72,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","True","","","","","","","English","normal","",NA,"","",0,"Cavern of Souls","","","As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.","Land","","","2X2, AVR, LCI, LTC, MM3, PLCI, PLST, PRM, PUMA, UMA, ZNE","","mythic","","","oval","","","{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}","","","","As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.","","Land","Land","10fdba40-033e-508a-8791-3233802f1522, 479e911d-ce0e-5e90-93c7-be72198cbd40, 38e8a848-e9d9-5edc-90dd-4d7460c0ca4e, 21e9a9c1-aa60-5b55-b568-54b54dc4a589, 06d530fd-f068-599d-9ebe-05e870779ecc, 60319026-82e9-55e9-9f21-25a9d173238b, 237f6389-2174-55ff-84a6-26a34f80b679","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Legal","Legal","Legal","Banned","Legal","Legal","Legal","Legal","Legal","Legal","Legal","","","","","Legal","","","Legal","Legal","Legal","Legal"
"9","00a2f73d-1eda-5265-8a4f-834ff8786a70","269","LCI","","","The Mycotyrant","Alayna Danner","bb677b1a-ce51-4888-83d6-5a94de461ff9","","","arena, mtgo, paper","default","black","","","","",NA,"",130,0.72,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","True","","","","","","","English","normal","",NA,"","",0,"Cavern of Souls","","","As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.","Land","","","2X2, AVR, LCI, LTC, MM3, PLCI, PLST, PRM, PUMA, UMA, ZNE","","mythic","","","oval","","","{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}","","","","As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.","","Land","Land","10fdba40-033e-508a-8791-3233802f1522, 479e911d-ce0e-5e90-93c7-be72198cbd40, 38e8a848-e9d9-5edc-90dd-4d7460c0ca4e, 21e9a9c1-aa60-5b55-b568-54b54dc4a589, 06d530fd-f068-599d-9ebe-05e870779ecc, 60319026-82e9-55e9-9f21-25a9d173238b, 237f6389-2174-55ff-84a6-26a34f80b679","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Legal","Legal","Legal","Banned","Legal","Legal","Legal","Legal","Legal","Legal","Legal","","","","","Legal","","","Legal","Legal","Legal","Legal"
"10","00d36b0f-e866-54df-b4aa-447ba0f681e2","230","WAR","","","Doran, the Siege Tower","Lius Lasahido","0a0e9093-ce44-4a69-93a7-09b63e7c330d","","","arena, mtgo, paper","default","black","","G, W","","G, W",NA,"",6113,0.3,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","English","normal","{""brawl"": false, ""commander"": false, ""oathbreaker"": true}",NA,"7","{2}{G/W}",3,"Huatli, the Sun's Heart","","","","","","","PRM, PWAR, SLD, WAR","","uncommon","","","","","","{""foil"": [""3020fb4c-6968-514c-81da-09f7f6a907ec"", ""6961d380-b121-5ecf-9e4d-f8b0f156c749""], ""nonfoil"": [""3020fb4c-6968-514c-81da-09f7f6a907ec"", ""30dc68c6-fd54-57cc-a1c4-209e659e647c"", ""585e2a3d-6a84-5f8f-8cb8-a81316dd072f"", ""6961d380-b121-5ecf-9e4d-f8b0f156c749""]}","","Huatli","Legendary","Each creature you control assigns combat damage equal to its toughness rather than its power.\n[−3]: You gain life equal to the greatest toughness among creatures you control.","","Legendary Planeswalker — Huatli","Planeswalker","d7f9064a-1e5e-545e-9d53-08412f26e7d8","",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,"","Legal","Legal","Legal","Legal","","Legal","Legal","Legal","Legal","Legal","","","","","Legal","","","","","Legal","Legal"
