"artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","number","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","setCode","side","signature","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep"
"Larissa Hasenheit & Mina Jeon","3de12ff8-3701-4154-8407-f102f44670dd, d58fedc9-b2a8-4a12-a942-fd1efceacb9c","","","paper","","black","","","","",NA,"",NA,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Zombie Cheese Magician","6","","","2 — First strike\n4 — Whenever this creature deals combat damage to a player, draw that many cards.\n2 — 3/3\n3 — 6/2","Stickers","","","SUNF","","common","","","","SUNF","","","","","","{TK}{TK} — First strike\n{TK}{TK}{TK}{TK} — Whenever this creature deals combat damage to a player, draw that many cards.\n{TK}{TK} — 3/3\n{TK}{TK}{TK} — 6/2","","Stickers","Stickers","8bb1c806-a3b1-585c-b83b-e9d6c3e7eb12","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Aldo Domínguez","b701136e-c578-4a48-9383-1c2a5381ecb2","","","arena, mtgo, paper","default","black","","U","","U",NA,"",15844,NA,NA,"",NA,"","nonfoil, foil","","Patient and observant, the people of Zhalfir lurked beyond the veil of time until their moment came to finally strike at Phyrexia.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Zhalfirin Shapecraft","87","","","Target creature has base power and toughness 4/3 until end of turn.\nDraw a card.","Instant","","","MOM","","common","","","","MOM","","","","","","Target creature has base power and toughness 4/3 until end of turn.\nDraw a card.","","Instant","Instant","0c677ddd-6fb1-5796-96fd-80610f7dc420","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Lius Lasahido","0a0e9093-ce44-4a69-93a7-09b63e7c330d","","","mtgo, paper","default","black","","U","","U",NA,"",16907,0.08,NA,"",NA,"","nonfoil, foil","","""Ojutai's rule has allowed Tarkir's monks to learn from the truly enlightened.""\n—Sarkhan Vol","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Zephyr Scribe","85","","","{U}, {T}: Draw a card, then discard a card.\nWhenever you cast a noncreature spell, untap Zephyr Scribe.","Creature — Human Monk","","2","DTK","","common","","","","DTK","","","","Human, Monk","","{U}, {T}: Draw a card, then discard a card.\nWhenever you cast a noncreature spell, untap Zephyr Scribe.","1","Creature — Human Monk","Creature","3df60f70-7923-5e0a-a605-8c141afef475","","ojutai",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Martina Pilcerova","30fead7c-da53-4c1b-b514-4be6e5ce487c","","","paper","","black","","","","",NA,"",NA,NA,NA,"",NA,"","nonfoil","","""I have seen far beyond this imperfect world, into a tomorrow that doesn't include you.""","","2003",NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"","English","scheme","",NA,"","",0,"Your Puny Minds Cannot Fathom","44★","","","When you set this scheme in motion, draw four cards. You have no maximum hand size until your next turn.","Scheme","","","OARC","","common","","","","OARC","","","","","","When you set this scheme in motion, draw four cards. You have no maximum hand size until your next turn.","","Scheme","Scheme","d67f3c09-9cb6-58b6-a7f8-3302d6eb7ab2","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Joe Slucher","13b6c9ee-f7a8-46a4-934f-ea6b4a1b14b2","","","arena","default","black","","G","","G",NA,"",NA,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aim for the Cursed Amulet, Aim for the Wyvern, Conjure, Fire a Warning Shot","English","normal","",NA,"","{G}",1,"You Line Up the Shot","70","","","Choose one —\n• Aim for the Wyvern — Conjure a card named Plummet into your hand.\n• Aim for the Cursed Amulet — Conjure a card named Naturalize into your hand.\n• Fire a Warning Shot — Draw a card.","Instant","","","HBG","","common","","","arena","HBG","","","","","","Choose one —\n• Aim for the Wyvern — Conjure a card named Plummet into your hand.\n• Aim for the Cursed Amulet — Conjure a card named Naturalize into your hand.\n• Fire a Warning Shot — Draw a card.","","Instant","Instant","bdaa6ea9-8b5a-5163-b67b-79accf93fbf7","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Gabor Szikszai","44c3877f-8771-43dc-9e40-f4c765f59d2e","","","arena, mtgo, paper","default","black","","U","","U",NA,"",2852,0.09,NA,"",NA,"","nonfoil, foil","","""Give me just a moment! I almost have it.""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}{U}",3,"You Find the Villains' Lair","84","","","Choose one —\n• Foil Their Scheme — Counter target spell.\n• Learn Their Secrets — Draw two cards, then discard two cards.","Instant","","","AFR, HBG","","common","","","","AFR","","","","","","Choose one —\n• Foil Their Scheme — Counter target spell.\n• Learn Their Secrets — Draw two cards, then discard two cards.","","Instant","Instant","8815e98a-6d2a-5a08-a03d-9b9978c3dc68","d85660ff-6f74-5dbe-8faa-2a7aab7d695c","",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Matt Cavotta","2e6a0611-9411-4ba4-98e3-c0e18cbf9f83","","","paper","","black","","G","","G",NA,"",1453,0.08,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{1}{G}{G}",3,"Yavimaya Elder","166","","","When Yavimaya Elder dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle your library.\n{2}, Sacrifice Yavimaya Elder: Draw a card.","Creature — Human Druid","","2","C18, CM2, CMD, CMR, DDE, MB1, MH2, MIC, TD0, UDS, VMA, ZNC","","common","","","","C18","","","","Human, Druid","","When Yavimaya Elder dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.\n{2}, Sacrifice Yavimaya Elder: Draw a card.","1","Creature — Human Druid","Creature","554cf2b0-d97b-5e1d-bbdf-3abe6c17c69e","","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Larissa Hasenheit & Mina Jeon","3de12ff8-3701-4154-8407-f102f44670dd, d58fedc9-b2a8-4a12-a942-fd1efceacb9c","","","paper","","black","","","","",NA,"",NA,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Wrinkly Monkey Shenanigans","31","","","2 — {1}: Target creature can't block this creature this turn.\n4 — Morbid — At the beginning of each end step, if a creature died this turn and this permanent is a creature, put a -1/-1 counter on this permanent and draw a card.\n2 — 2/4\n3 — 7/2","Stickers","","","SUNF","","common","","","","SUNF","","","","","","{TK}{TK} — {1}: Target creature can't block this creature this turn.\n{TK}{TK}{TK}{TK} — Morbid — At the beginning of each end step, if a creature died this turn and this permanent is a creature, put a -1/-1 counter on this permanent and draw a card.\n{TK}{TK} — 2/4\n{TK}{TK}{TK} — 7/2","","Stickers","Stickers","85eaf736-f807-5390-b43d-45b1f2346a36","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Darek Zabrocki","904ed2e7-9850-4472-802f-2657c53dd4d8","","","mtgo, paper","default","black","","U","","",NA,"",16598,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emerge, Flying","English","normal","",NA,"","{7}",7,"Wretched Gryff","12","","","Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)\nWhen you cast Wretched Gryff, draw a card.\nFlying","Creature — Eldrazi Hippogriff","","3","EMN, MB1, SIR","","common","","","","EMN","","","","Eldrazi, Hippogriff","","Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, draw a card.\nFlying","4","Creature — Eldrazi Hippogriff","Creature","9fde7c4e-1ca6-5fff-a266-3e4c8871ca09","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA
"Eric Peterson","0fc26d3b-4c0e-41d1-8eb3-286ab55a2328","","","mtgo, paper","default","black","","U","","U",NA,"",5653,NA,NA,"",NA,"","nonfoil, foil","","Knowledge can't be kept in a bottle or sealed in a box. It yearns to be spread and shared.","","1997",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Words of Wisdom","114","","","You draw two cards, then each other player draws a card.","Instant","","","ODY","","common","","","","ODY","","","","","","You draw two cards, then each other player draws a card.","","Instant","Instant","e4e1100b-3193-5fd1-bc9a-5a740b99350d","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
