"artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isGameChanger","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","number","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","setCode","side","signature","sourceProducts","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark"
"Dominik Mayer","c3439c4a-1fee-4e33-9b89-18dac27ac927","","","paper","","borderless","","B, G, W","","B, G, W",NA,"",1294,0.6,NA,"",NA,"","nonfoil, foil","","""We are the voice of the untethered and lost ancestors. The memory of the Abzan. We guide those that yet live.""\n—Betor","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","{W}{W}{B}{B}{B}{G}{G}",7,"Eerie Ultimatum","104","","2025-04-11","","","","","IKO, PIKO, PLST, PRM, SPG","boosterfun","mythic","","","oval","SPG","","","","","","","Return any number of permanent cards with different names from your graveyard to the battlefield.","","Sorcery","Sorcery","9492d0fa-b7d6-572f-93e2-5977a5e76c2e","",""
"Dominik Mayer","c3439c4a-1fee-4e33-9b89-18dac27ac927","","","paper","","borderless","","B, G, U","","B, G, U",NA,"",5649,1.22,NA,"",NA,"","nonfoil, foil","","""I will give you a fair and beautiful judgment.""\n—Teval","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","{B}{B}{G}{G}{G}{U}{U}",7,"Emergent Ultimatum","105","","2025-04-11","","","","","IKO, PIKO, PRM, SPG","boosterfun","mythic","","","oval","SPG","","","","","","","Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile Emergent Ultimatum.","","Sorcery","Sorcery","a21507c7-1a2c-5e19-a7bd-247c01c0d6ad","",""
"Dominik Mayer","c3439c4a-1fee-4e33-9b89-18dac27ac927","","","paper","","borderless","","G, R, U","","G, R, U",NA,"",2955,0.44,NA,"",NA,"","nonfoil, foil","","""We sing and the chorus of creation responds.""\n—Ureni","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","{G}{G}{U}{U}{U}{R}{R}",7,"Genesis Ultimatum","106","","2025-04-11","","","","","IKO, PIKO, PRM, SPG","boosterfun","mythic","","","oval","SPG","","","","","","","Look at the top five cards of your library. Put any number of permanent cards from among them onto the battlefield and the rest into your hand. Exile Genesis Ultimatum.","","Sorcery","Sorcery","6f74d53a-70c4-5f29-8b8c-e64d691ab922","",""
"Dominik Mayer","c3439c4a-1fee-4e33-9b89-18dac27ac927","","","paper","","borderless","","R, U, W","","R, U, W",NA,"",9005,NA,NA,"",NA,"","nonfoil, foil","","""The Way tells us we must strive towards unity of mind. Through shared understanding, we may yet put an end to strife on Tarkir.""\n—Shiko","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","{U}{U}{R}{R}{R}{W}{W}",7,"Inspired Ultimatum","107","","2025-04-11","","","","","IKO, PIKO, PRM, SPG","boosterfun","mythic","","","oval","SPG","","","","","","","Target player gains 5 life, Inspired Ultimatum deals 5 damage to any target, then you draw five cards.","","Sorcery","Sorcery","b19789ef-980c-5634-8f82-1ecf60afc7dc","",""
"Dominik Mayer","c3439c4a-1fee-4e33-9b89-18dac27ac927","","","paper","","borderless","","B, R, W","","B, R, W",NA,"",695,1.2,NA,"",NA,"","nonfoil, foil","","""Strength comes from community. Together, we can destroy any enemy.""\n—Neriv","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","{R}{R}{W}{W}{W}{B}{B}",7,"Ruinous Ultimatum","108","","2025-04-11","","","","","IKO, PIKO, PIP, PRM, SPG","boosterfun","mythic","","","oval","SPG","","","","","","","Destroy all nonland permanents your opponents control.","","Sorcery","Sorcery","17489a5c-d128-5dd7-acce-ce8e1e80be38","",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","paper","","borderless","","","","",NA,"",55,0.28,NA,"",NA,"","nonfoil, foil","","""This was where I fought my first battle under Kolaghan. How I have outgrown her.""\n—Zurgo, khan of the Mardu","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","",0,"Arid Mesa","109","","2025-04-11","","","","","EXP, MH2, MM3, PMH2, PRM, SLU, SPG, ZEN, ZNE","boosterfun","mythic","","","oval","SPG","","","","","","","{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.","","Land","Land","3971e12b-4bc0-5a07-b5f7-c138fa812b67","1def7410-4db9-5a2c-a0d0-173783868704",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","paper","","borderless","","","","",NA,"",46,0.24,NA,"",NA,"","nonfoil, foil","","""We remember all the world has endured, everything it has gone through to bring us to today. We are proud of Tarkir.""\n—Betor","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","",0,"Marsh Flats","110","","2025-04-11","","","","","EXP, MH2, MM3, PMH2, PRM, SLU, SPG, ZEN, ZNE","boosterfun","mythic","","","oval","SPG","","","","","","","{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.","","Land","Land","4b0e994c-7481-5f7e-9ffd-2714dddd5947","d4a9e6a5-6b3c-58cb-a6cd-51556e918763",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","paper","","borderless","","","","",NA,"",40,0.36,NA,"",NA,"","nonfoil, foil","","In the mist, turbulent enough to deafen. Beneath the boughs, serene enough to soothe.","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","",0,"Misty Rainforest","111","","2025-04-11","","","","","EXP, MH2, MM3, PMH2, PRM, SLU, SPG, ZEN, ZNE","boosterfun","mythic","","","oval","SPG","","","","","","","{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.","","Land","Land","d752c646-307b-5f0c-a4c0-dd4c4357b5e5","afc447ce-52df-54cd-a7d9-bb95f446f65a",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","paper","","borderless","","","","",NA,"",49,0.34,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","",0,"Scalding Tarn","112","","2025-04-11","","","","","EXP, MH2, MM3, PMH2, PRM, SLU, SPG, ZEN, ZNE","boosterfun","mythic","","","oval","SPG","","","","","","","{T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.","","Land","Land","fb9e8c74-b433-560e-8b91-78bc602bd2f4","2a7649e4-f90d-5782-bbb6-4f66f3ee6da5",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","","paper","","borderless","","","","",NA,"",45,0.28,NA,"",NA,"","nonfoil, foil","","Where dragonlords once schemed, their memory now dissipates.","","2015",NA,"","","True","True","","","","","","","","","True","","True","","","","","English","normal","",NA,"","",0,"Verdant Catacombs","113","","2025-04-11","","","","","EXP, MH2, MM3, PMH2, PRM, SLU, SPG, ZEN, ZNE","boosterfun","mythic","","","oval","SPG","","","","","","","{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.","","Land","Land","3f7d749f-1b07-5d14-bd50-5788261bdc1f","10070a34-9d83-53a3-828c-fd159ac4c2eb",""
"Joshua Raphael","553b2a73-780f-414b-b2d7-3b7888821082","","","arena, mtgo, paper","default","black","","","","",NA,"",16567,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","{""brawl"": false, ""commander"": false, ""oathbreaker"": true}",NA,"7","{7}",7,"Ugin, Eye of the Storms","1","","","","","","","TDM","","mythic","","","oval","TDM","","","","","Ugin","Legendary","When you cast this spell, exile up to one target permanent that's one or more colors.\nWhenever you cast a colorless spell, exile up to one target permanent that's one or more colors.\n[+2]: You gain 3 life and draw a card.\n[0]: Add {C}{C}{C}.\n[−11]: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs.","","Legendary Planeswalker — Ugin","Planeswalker","22e8c995-d185-5f9f-84cf-a7e799daeeda","8cc28706-1594-582f-b0d1-ae4bbfa6e5bb, 186c47bd-4d0c-57a2-a3b4-ebada06aa583",""
