"","cardNumber","setCode","commander","foil","commander_deck","artist","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","side","signature","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep"
"1",1,"KHC","Y","Y","Lathril, Blade of the Elves","Caroline Gariba","","","mtgo, paper","","black","","B, G","","B, G",NA,"",2134,0.57,NA,"",NA,"","nonfoil, foil","","","legendary","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Menace","English","normal","{'brawl': False, 'commander': True, 'oathbreaker': False}",NA,"","{2}{B}{G}",4,"Lathril, Blade of the Elves","","","Menace\nWhenever Lathril, Blade of the Elves deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.\n{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","Legendary Creature — Elf Noble","","2","KHC","","mythic","","","oval","","","","Elf, Noble","Legendary","Menace\nWhenever Lathril, Blade of the Elves deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.\n{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","3","Legendary Creature — Elf Noble","Creature","3991d388-f3ef-56b6-ae17-bdaf719a8e42","","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"2",10,"KHC","","","Lathril, Blade of the Elves","Zoltan Boros","","","mtgo, paper","","black","","B","","B",NA,"",3567,0.54,NA,"",NA,"","nonfoil","","""I count the usurpers with my dagger, one death blow at a time.""","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"","English","normal","",NA,"","{3}{B}{B}",5,"Ruthless Winnower","","","At the beginning of each player's upkeep, that player sacrifices a non-Elf creature.","Creature — Elf Rogue","","4","KHC","","rare","","","oval","","","","Elf, Rogue","","At the beginning of each player's upkeep, that player sacrifices a non-Elf creature.","4","Creature — Elf Rogue","Creature","1e6eead4-c8d3-5337-ab03-b9949dbceb9e","","",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"3",104,"KHC","","","Lathril, Blade of the Elves","Mike Bierek","","","mtgo, paper","","black","","","","",NA,"",1,0.93,NA,"",NA,"","nonfoil","","Lost to time is the artificer's art of trapping light from a distant star in a ring of purest gold.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{1}",1,"Sol Ring","","","{T}: Add {C}{C}.","Artifact","","","2ED, 30A, 3ED, 40K, AFC, BRC, C13, C14, C15, C16, C17, C18, C19, C20, C21, CC1, CC2, CED, CEI, CLB, CM2, CMA, CMD, CMR, DMC, FBB, G05, KHC, LEA, LEB, LTC, MB1, ME4, MIC, MOC, MPS, NCC, NEC, ONC, PCTB, PF19, PHED, PLG22, PRM, PZ1, SCD, SLD, SUM, V10, VMA, VOC, ZNC","","uncommon","","","","","","","","","{T}: Add {C}{C}.","","Artifact","Artifact","57cba1de-1464-5d2e-94d5-3de2fa696cbf","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"4",107,"2X2","","","Magda, Brazen Outlaw","Lie Setiawan","","","mtgo, paper","default","black","","R","","R",NA,"",84,2.32,NA,"",NA,"","nonfoil, foil","","""It's just business.""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Treasure","English","normal","",NA,"","{1}{R}",2,"Dockside Extortionist","","","When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. (Treasure tokens are artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")","Creature — Goblin Pirate","","1","2X2, C19, PRM","","mythic","","","oval","","","","Goblin, Pirate","","When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. (Treasure tokens are artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")","2","Creature — Goblin Pirate","Creature","1104bdaa-8841-5b80-8300-0e8d0fcd33b7","110e193d-f86b-59f0-a979-fd0615c7576e, 3db882c7-a3ab-53b7-9e00-652609755b22","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"5",1079,"SLD","","","Magda, Brazen Outlaw","Volta Creation","","","paper","","borderless","","","","",NA,"",886,NA,NA,"Megatron",NA,"Blightsteel Colossus","nonfoil, foil","Megatron // Megatron","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Indestructible, Infect, Trample","English","reversible_card","",NA,"","{12}",12,"Blightsteel Colossus // Blightsteel Colossus","","2022-12-02","","","3bac1725-5087-5b5e-bd9f-cb6b5e27d190","11","2XM, MBS, PLIST, PRM, SLD","","mythic","","","triangle","a","","Transformers: Optimus Prime vs. Megatron","Phyrexian, Golem","","Trample, infect, indestructible\nIf Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.","11","Artifact Creature — Phyrexian Golem","Artifact, Creature","7beb2d19-5f06-5d83-a9bb-312627934e55","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA
"6",1079,"SLD","","","Magda, Brazen Outlaw","Volta Creation","","","paper","","borderless","","","","",NA,"",886,NA,NA,"Megatron",NA,"Blightsteel Colossus","nonfoil, foil","Megatron // Megatron","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Indestructible, Infect, Trample","English","reversible_card","",NA,"","{12}",12,"Blightsteel Colossus // Blightsteel Colossus","","2022-12-02","","","7beb2d19-5f06-5d83-a9bb-312627934e55","11","2XM, MBS, PLIST, PRM, SLD","","mythic","","","triangle","b","","Transformers: Optimus Prime vs. Megatron","Phyrexian, Golem","","Trample, infect, indestructible\nIf Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.","11","Artifact Creature — Phyrexian Golem","Artifact, Creature","3bac1725-5087-5b5e-bd9f-cb6b5e27d190","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA
"7",108,"CMA","","","Lathril, Blade of the Elves","Karl Kopinski","","","paper","","black","","G","","G",NA,"",1762,0.45,NA,"",NA,"","nonfoil","","The infamous Ezuri commands the highest bounty the vedalken have ever placed upon an outlaw.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","{'brawl': False, 'commander': True, 'oathbreaker': False}",NA,"","{1}{G}{G}",3,"Ezuri, Renegade Leader","","","{G}: Regenerate another target Elf.\n{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.","Legendary Creature — Elf Warrior","","2","C14, CMA, DDU, PLIST, SOM","","rare","","","oval","","","","Elf, Warrior","Legendary","{G}: Regenerate another target Elf.\n{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.","2","Legendary Creature — Elf Warrior","Creature","ac5122da-8401-5412-a713-7c8919db9f6f","","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"8",108,"KHC","","","Lathril, Blade of the Elves","Evan Shipard","","","mtgo, paper","","black","","","","",NA,"",2,0.14,NA,"",NA,"","nonfoil","","""Approach my tower on bended knee or depart from it as ash upon the wind.""\n—Gadwick, the Wizened","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Command Tower","","","{T}: Add one mana of any color in your commander's color identity.","Land","","","40K, AFC, ANB, BRC, C13, C15, C16, C17, C18, C19, C20, C21, CC1, CC2, CLB, CM1, CM2, CMA, CMD, CMR, DMC, ELD, J12, KHC, LTC, MIC, MOC, NCC, NEC, ONC, PCTB, PHED, PRM, PZ1, SCD, SLD, VOC, ZNC","","common","","","","","","","","","{T}: Add one mana of any color in your commander's color identity.","","Land","Land","f7e02f73-64db-578b-bf1f-1c8aa2412126","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"9",109,"KHM","","","Lathril, Blade of the Elves","Randy Vargas","","","arena, mtgo, paper","default","black","","B","","B",NA,"",4071,0.04,NA,"",NA,"","nonfoil, foil","","Stripped of their divinity, the elves of Skemfar channeled their rage and sorrow into bloody brutality.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{B}",2,"Skemfar Avenger","","","Whenever another nontoken Elf or Berserker you control dies, you draw a card and you lose 1 life.","Creature — Elf Berserker","","3","KHM, PKHM, PRM","","rare","eee4cd76-b77f-5707-a2f8-1d656f2f7316","","oval","","","","Elf, Berserker","","Whenever another nontoken Elf or Berserker you control dies, you draw a card and you lose 1 life.","1","Creature — Elf Berserker","Creature","a70e1ab6-ff9e-5cde-bfe6-58d8139e5f18","0b62b8b9-b190-55ec-ae81-677f7ace049a","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"10",110,"KHC","","","Lathril, Blade of the Elves","Yeong-Hao Han","","","mtgo, paper","","black","","B, G","","",NA,"",2701,0.06,NA,"",NA,"","nonfoil","","The stench of rotting meat lures flies, goblins, and young raptors.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Foul Orchard","","","Foul Orchard enters the battlefield tapped.\n{T}: Add {B} or {G}.","Land","","","AKH, C19, KHC, M19, RIX, SIR, SOI","","uncommon","","","","","","","","","Foul Orchard enters the battlefield tapped.\n{T}: Add {B} or {G}.","","Land","Land","cd0b9a32-8cf3-5135-8a2a-70bf8a55f14b","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
