"name","manaCost","rarity","type","text"
"Angelic Intervention","{1}{W}","common","Instant","Target creature or planeswalker you control gains protection from colorless or from the color of your choice until end of turn. If it's a creature, put a +1/+1 counter on it. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything with that quality.)"
"Archangel Elspeth","{2}{W}{W}","mythic","Legendary Planeswalker — Elspeth","[+1]: Create a 1/1 white Soldier creature token with lifelink.\n[−2]: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.\n[−6]: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield."
"Bola Slinger","{3}{W}","common","Creature — Cat Soldier","Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)\nWhenever this creature attacks, tap target artifact or creature an opponent controls."
"Boon-Bringer Valkyrie","{3}{W}{W}","rare","Creature — Angel Warrior","Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.)\nFlying, first strike, lifelink"
"Dusk Legion Duelist","{1}{W}","rare","Creature — Vampire Soldier","Vigilance\nWhenever one or more +1/+1 counters are put on this creature, draw a card. This ability triggers only once each turn."
"Enduring Bondwarden","{W}","common","Creature — Human Scout","Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)\nWhen this creature dies, put its counters on target creature you control."
"Golden-Scale Aeronaut","{4}{W}","common","Creature — Dwarf Pilot","Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)\nFlying"
"Infected Defector","{4}{W}","common","Creature — Phyrexian Knight","When this creature dies, incubate 3. (Create an Incubator token with three +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.)"
"Invasion of Gobakhan // Lightshield Array","","rare","Enchantment","At the beginning of your end step, put a +1/+1 counter on each creature that attacked this turn.\nSacrifice this enchantment: Creatures you control gain hexproof and indestructible until end of turn."
"Norn's Inquisitor","{1}{W}","uncommon","Creature — Phyrexian Knight","When this creature enters, incubate 2. (Create an Incubator token with two +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.)\nWhenever a permanent you control transforms into a Phyrexian, put a +1/+1 counter on it."
