"n"	"name"
1	"Abundance"
1	"Acidic Slime"
1	"Allosaurus Shepherd"
1	"Apex Altisaur"
1	"Argoth, Sanctum of Nature // Titania, Gaea Incarnate"
1	"Awaken the Woods"
1	"Azusa, Lost but Seeking"
1	"Bala Ged Recovery // Bala Ged Sanctuary"
1	"Bane of Progress"
1	"Baru, Fist of Krosa"
1	"Beast Within"
1	"Birds of Paradise"
1	"Blighted Woodland"
1	"Blossoming Tortoise"
1	"Boseiju, Who Endures"
1	"Bushwhack"
1	"Cabaretti Courtyard"
1	"Circuitous Route"
1	"Collective Voyage"
1	"Command Tower"
1	"Crucible of Worlds"
1	"Cryptic Caves"
1	"Embodiment of Insight"
1	"End-Raze Forerunners"
1	"Eternal Witness"
1	"Evolving Wilds"
1	"Explore"
1	"Fabled Passage"
1	"Field of Ruin"
1	"Field of the Dead"
14	"Forest"
1	"Gargoyle Castle"
1	"Glacial Chasm"
1	"Harrow"
1	"Heartwood Storyteller"
1	"Hidden Nursery"
1	"Hurricane"
1	"Kamahl's Will"
1	"Karn's Sylex"
1	"Khalni Ambush // Khalni Territory"
1	"Kodama's Reach"
1	"Kura, the Boundless Sky"
1	"Lotus Cobra"
1	"Lull"
1	"Mishra's Factory"
1	"Multani, Yavimaya's Avatar"
1	"Naturalize"
1	"Nature's Lore"
1	"Naya Panorama"
1	"Nissa, Ascended Animist"
1	"Nissa, Who Shakes the World"
1	"Okina, Temple to the Grandfathers"
1	"Omnath, Locus of Mana"
1	"Oracle of Mul Daya"
1	"Perennial Behemoth"
1	"Pest Infestation"
1	"Promising Vein"
1	"Rampaging Baloths"
1	"Rampant Growth"
1	"Reclaim the Wastes"
1	"Rites of Flourishing"
1	"Roiling Regrowth"
1	"Rootpath Purifier"
1	"Scaretiller"
1	"Scute Swarm"
1	"Sensei's Divining Top"
1	"Shire Terrace"
1	"Silklash Spider"
1	"Sol Ring"
1	"Staff of Titania"
1	"Swiftfoot Boots"
1	"Sword of Forge and Frontier"
1	"Sylvan Advocate"
1	"Sylvan Library"
1	"Terminal Moraine"
1	"Terramorphic Expanse"
1	"Thunderfoot Baloth"
1	"Titania's Command"
1	"Titania, Nature's Force"
1	"Titania, Protector of Argoth"
1	"Titania, Voice of Gaea // Titania, Gaea Incarnate"
1	"Traveler's Amulet"
1	"Tree of Tales"
1	"Undergrowth Recon"
1	"Verdant Mastery"
1	"Vorinclex, Voice of Hunger"
1	"Yedora, Grave Gardener"
